seq,code,name,eps,revenue,rev_yoy,rev_qoq,net_profit,profit_yoy,profit_qoq,bps,roe,cps,gross_margin,industry,pub_date,report_date
110,874699,斯比特,0.19,307590150.79,15.7229186134,,13195429.68,-0.36,,4.864939781039,3.94,0.55780274349,17.9577327714,,2026-04-28,20250630
111,874672,爱思益普,0.75,108467097.64,26.0349027555,,15091938.73,210.92,,12.779512716671,5.74,0.662491034262,45.2971853668,,2026-04-28,20250630
112,874472,生力材料,0.68,793031609.16,33.9748444411,,70917592.16,86.37,,4.67641998746,15.63,-1.488670711956,14.1740108114,,2026-04-28,20250630
113,874439,赛瓦特,0.16,261819206.72,23.1311381773,,18706648.33,24.18,,3.075755124752,6.6,-0.586561063782,18.3330701752,,2026-04-28,20250630
114,873827,岷山环能,0.21,1688449153.72,27.1642707037,7.6979,41264845.17,13.72,82.391,3.937121592864,5.43,-0.152508304843,4.8778836495,,2026-04-28,20250630
115,835708,蓝能科技,0.52,151346293.03,34.5017798434,,36114780.1,38.63,,2.047055127401,26.27,0.352870220772,41.6905006504,,2026-04-28,20250630
116,832963,海鹰环境,0.22,97985671.52,-0.9298347942,,9421869.04,26.24,,3.278085676568,6.62,-0.013113000943,28.4417913126,,2026-04-28,20250630
117,831177,深冷能源,0.31,263565645.29,-0.4200144444,,34447589.02,-29.95,,7.689352619695,4.36,0.177925112577,30.277701869,,2026-04-28,20250630
118,603360,百傲化学,,789494955.01,35.4383002524,-38.6341,98741572.66,-44.22,-27.1176,2.317279006418,5.15,-0.008039130873,34.0879080534,农化制品,2026-04-28,20250630
119,600731,湖南海利,0.2567,885437691.9,-14.9158107014,26.4062,143449769.67,41.82,53.3993,5.917898331313,4.44,0.059906195631,32.3231394279,农化制品,2026-04-28,20250630
120,600476,*ST湘邮,-0.105,256754138.52,36.0123346183,91.5412,-16948914.34,-16.0956480993,-65.5202,0.078272821009,-2.34,-0.26381519594,14.5730831393,IT服务Ⅱ,2026-04-28,20250630
121,300271,华宇软件,-0.1,592472821.09,-11.0278244161,44.6274,-82697966.53,49.14,17.87,4.565074121062,-2.21,-0.352640864352,34.5628957786,IT服务Ⅱ,2026-04-28,20250630
122,300245,ST天玑,-0.15,147664231.07,-1.5998949625,23.1214,-46604987.01,-317.4,-627.218,3.943142460595,-3.71,-0.235690925659,20.2023384633,IT服务Ⅱ,2026-04-28,20250630
123,300226,上海钢联,0.3717,32135596810.18,-22.5905026593,24.8011,118459351.18,41.07,28.3634,6.610834591721,5.79,1.034678171805,1.4244808478,软件开发,2026-04-28,20250630
124,300225,金力泰,0.0183,366536153.93,5.6628243908,21.5377,8708505.62,-32.98,-45.4045,1.816726369282,1.01,-0.159651909192,29.9787174749,化学制品,2026-04-28,20250630
125,300122,智飞生物,-0.2498,4925196928.5,-73.0466400909,9.3071,-598076899.29,-126.62,14.9092,12.640157953534,-1.96,0.653513822779,28.3000436353,生物制品,2026-04-28,20250630
126,001287,中电港,0.238,27841694363.4,12.6401380282,27.8256,180879226.6,64.98,13.9189,6.987897309625,3.43,-2.730030862741,3.3732365103,其他电子Ⅱ,2026-04-28,20250630
127,000981,山子高科,0.0215,1732403309.33,-17.2998646558,-35.1068,215382603.31,119.34,65.0764,0.122744386254,18.47,-0.02100390704,16.2402956104,汽车零部件,2026-04-28,20250630
128,835834,ST达伦,-0.01,41535966.6,18.8079494688,,-378616.39,101.62,,0.064971123965,4.53,-0.12730780181,27.638835038,,2026-04-27,20250630
129,835092,钢银电商,0.15,31766582575.09,-22.7666668918,,152401525.45,47.13,,3.283921903135,4.22,0.298856500957,0.7621507063,,2026-04-27,20250630
130,300749,顶固集创,0.03,461136523.82,-14.9457207463,24.9993,5935637.46,222.72,395.2052,2.586011296373,1.1,-0.253281798845,22.88428096,家居用品,2026-04-27,20250630
131,300469,信息发展,-0.2,90682129.16,22.8127194238,-1.3788,-49952593.2,-29.84,-51.7848,1.648282208266,-11.5,-0.182881328144,21.7716596565,软件开发,2026-04-27,20250630
132,603789,ST星农,-0.1514,108569136.97,11.90657696,31.5374,-40933945.08,16.3696120249,55.6975,0.72036025345,-18.33,-0.140718957343,0.9497372723,专用设备,2026-04-25,20250630
133,603696,安记食品,0.05,263047103.71,-7.6197051842,19.4929,12498951.47,58.61,24.9701,2.353808568793,2.4,-0.057116977509,16.7414187607,调味发酵品Ⅱ,2026-04-25,20250630
134,600739,辽宁成大,0.47,5103293331.75,-0.8628081696,7.3619,717566617.13,56.18,6.5593,19.644326842451,2.42,-0.091499920904,12.3348437656,生物制品,2026-04-25,20250630
135,600653,申华控股,-0.0305,1845957107.34,-17.7532597635,8.7676,-59313460.38,-52.37,-296.332,0.390841986417,-7.496,0.004793202633,3.6663179112,汽车服务,2026-04-25,20250630
136,920184,国源科技,0.06,111421115.38,-15.0866415974,3.2901,7213094.72,-20.54,190.4278,4.637551453221,1.18,-0.17216882336,42.7323656271,IT服务Ⅱ,2026-04-24,20250630
137,874453,展辰新材,0.06,720665107.05,-2.5750057813,,19558951.58,-14.82,,2.408333056444,2.65,-0.273836795,26.255790827,,2026-04-24,20250630
138,873976,今大禹,0.33,127741292.16,4.2677690446,,23611089.2,-34.07,,5.228250590946,6.09,0.33548950527,40.0508032093,,2026-04-24,20250630
139,834395,博信永元,-0.01,2937523.69,-79.4023693088,36.3389,-1320856.77,-89.65,107.3294,2.267376305187,-0.3,-0.079048264619,99.2895127937,,2026-04-24,20250630
140,600546,山煤国际,0.33,8513520535.18,-39.4365811187,22.8296,654975850.2,-49.25,56.915,8.041616712625,3.92,-0.23671839724,35.7282427358,煤炭开采,2026-04-24,20250630
141,430253,兴竹信息,-0.03,42434696.63,28.0732431266,,-4244723.11,56.64,,0.761653782684,-3.9,-0.070812337808,15.0682425887,,2026-04-24,20250630
142,301100,风光股份,-0.2,546717494.91,13.5361702263,-9.9162,-40231767.11,-93.68,-166.7851,9.9683488938,-1.99,-0.40775914065,3.4291978882,化学制品,2026-04-24,20250630
143,200530,冰山B,0.09,2380320781.91,-0.5557796414,5.5271,78290437.78,1.29,66.6736,3.759152832893,2.52,-0.001224500884,16.4160501496,通用设备,2026-04-24,20250630
