date,equity,positions,cash
20220617,19321206.39,5,7149990.68
20220620,19306602.77,5,7150700.01
20220621,19215391.50,5,7151409.40
20220622,18992908.65,5,7152118.87
20220623,19390734.99,5,7152828.40
20220624,19298060.45,5,7153538.01
20220627,19819887.90,5,7154247.69
20220628,20062473.83,5,7154957.43
20220629,19728720.43,5,7155667.25
20220630,19918200.08,5,7156377.14
20220701,19996539.05,5,7157087.10
20220704,20061258.77,5,7157797.13
20220705,20175852.64,5,7158507.22
20220706,19746005.30,5,7159217.39
20220707,20016361.05,5,7159927.63
20220708,19990284.74,5,7160637.94
20220711,19636362.29,5,7161348.32
20220712,19546586.59,5,7162058.78
20220713,19711799.63,5,7162769.30
20220714,19902497.00,5,7163479.89
20220715,19805834.26,5,7164190.55
20220718,20206168.16,5,7164901.29
20220719,20333306.62,5,7165612.09
20220720,20165868.34,5,7166322.96
20220721,19780020.12,5,7167033.91
20220722,19829550.92,5,7167744.92
20220725,19853615.55,5,7168456.01
20220726,20061631.68,5,7169167.17
20220727,20404843.65,5,7169878.39
20220728,20380745.58,5,7170589.69
20220729,20353640.00,5,7171301.06
20220801,20483378.62,5,7172012.50
20220802,20200077.69,5,7172724.01
20220803,19793459.36,5,7807352.60
20220804,19880623.40,5,7808127.14
20220805,20199353.16,5,7808901.76
20220808,20474688.41,5,7809676.45
20220809,20496764.42,5,7810451.22
20220810,20501982.29,5,7811226.07
20220811,20654697.36,5,7812000.99
20220812,20451525.32,5,7812775.99
20220815,20569761.96,5,7813551.07
20220816,20540869.85,5,7814326.22
20220817,20451579.53,5,7815101.45
20220818,20690450.61,5,7815876.76
20220819,20256692.89,5,7816652.15
20220822,20181911.16,5,7817427.61
20220823,20127128.33,5,7818203.15
20220824,19445445.62,5,7771698.00
20220825,19299587.74,5,7772469.00
20220826,19189827.33,5,7773240.08
20220829,19197286.19,5,7774011.23
20220830,19069768.13,5,7774782.46
20220831,18673305.76,5,8533977.37
20220901,18662109.37,5,8306112.79
20220902,18869208.06,5,8306936.81
20220905,18990610.56,5,8307760.91
20220906,19057155.71,5,8308585.09
20220907,19000267.77,5,8309409.36
