date,equity,positions,cash
20220218,19966258.66,5,9617658.39
20220221,20037874.72,5,9618612.52
20220222,19919286.95,5,9619566.75
20220223,19962772.41,5,9620521.07
20220224,19783388.57,5,9621475.49
20220225,19836764.61,5,9622430.00
20220228,19865453.90,5,9623384.60
20220301,20067141.39,5,9624339.30
20220302,20003510.24,5,9625294.10
20220303,20045086.25,5,9626248.99
20220304,20008578.64,5,9627203.97
20220307,19692829.40,5,9628159.05
20220308,19328168.49,5,9629114.23
20220309,19279177.69,5,9630069.50
20220310,19509143.80,5,9631024.86
20220311,19454321.91,5,9631980.32
20220314,19186749.97,5,9632935.87
20220315,18562680.10,5,8595074.82
20220316,18904989.69,5,8595927.50
20220317,19195431.77,5,8596780.27
20220318,19207146.60,5,8597633.13
20220321,19190887.23,5,8598486.07
20220322,19176768.89,5,8599339.09
20220323,19202880.51,5,8600192.20
20220324,19071408.91,5,8601045.39
20220325,18801123.25,5,8601898.67
20220328,18745771.52,5,8602752.04
20220329,18628182.09,5,8603605.48
20220330,18938110.00,5,8604459.02
20220331,18906810.28,5,8605312.63
20220401,18892985.81,5,8606166.33
20220406,18879809.76,5,8607020.12
20220407,18681768.36,5,8607873.99
20220408,18782746.07,5,8608727.95
20220411,18437096.49,5,8609581.99
20220412,18581165.56,5,8610436.11
20220413,18430187.29,5,8611290.32
20220414,18573820.84,5,8612144.62
20220415,18453204.96,1,16459683.90
20220418,18523626.48,1,16461316.81
20220419,18440622.57,1,16462949.87
20220420,18432139.83,1,16464583.10
20220421,18412866.87,1,16466216.49
20220422,18361560.17,1,16467850.05
20220425,18271138.53,1,16469483.76
20220426,18178019.46,1,16471117.64
20220427,18338137.08,1,16472751.68
20220428,18368096.00,1,16474385.88
20220429,18383555.53,1,16476020.24
20220505,18484663.79,1,16477654.77
20220506,18432346.62,1,16479289.46
20220509,18436004.67,1,16480924.31
20220510,18505416.70,1,16482559.32
20220511,18550550.56,1,16484194.49
20220512,18634462.47,1,16485829.83
20220513,18641155.96,1,16487465.33
20220516,18599967.33,1,16489100.99
20220517,18569906.44,1,16490736.81
20220518,18587390.78,1,16492372.80
20220519,18598050.12,5,8630444.83
20220520,18705660.48,5,8631301.03
20220523,18755112.34,5,8632157.31
20220524,18500991.64,5,8633013.67
20220525,18569803.88,5,8633870.12
20220526,18528015.37,5,8634726.66
20220527,18562805.09,5,8635583.28
20220530,18808817.09,5,8636439.98
20220531,19053175.47,5,8637296.77
20220601,19129794.07,5,8638153.65
20220602,19799177.22,5,8639010.61
20220606,20193741.89,5,8639867.65
20220607,19941997.64,5,8640724.78
20220608,19825482.03,5,8641581.99
20220609,19536719.71,5,8642439.29
20220610,19891459.39,5,8643296.68
20220613,19911273.51,5,8644154.15
20220614,19514183.87,5,8645011.70
20220615,19467813.37,5,8645869.34
20220616,19646621.93,5,8646727.07
20220617,19642989.15,5,8647584.88
20220620,19553755.62,5,9458007.00
20220621,19501451.85,5,9458945.29
20220622,19229618.92,5,9459883.68
20220623,19557658.19,5,9460822.16
20220624,19626348.40,5,9461760.73
20220627,19857521.61,5,9462699.40
20220628,20107513.45,5,9463638.16
20220629,19995862.75,5,9464577.01
20220630,20040845.57,5,9465515.96
20220701,19972156.65,5,9466455.00
20220704,19635170.15,5,9467394.13
20220705,19539509.86,5,9468333.36
20220706,19857229.94,5,9469272.67
20220707,19919188.05,5,9470212.09
20220708,19921040.28,5,9471151.59
20220711,19646885.74,5,9472091.19
20220712,19469580.80,5,9473030.88
20220713,19413956.92,5,9473970.67
20220714,19658843.71,5,9474910.54
20220715,19905374.97,5,9475850.52
20220718,19863452.14,5,9476790.58
20220719,19834937.14,5,9638707.62
20220720,19836165.12,5,9639663.85
20220721,19929320.31,5,9640620.16
20220722,19824823.22,5,9641576.57
20220725,19745068.11,5,9642533.08
20220726,20132570.45,5,9643489.68
20220727,20054371.06,5,9644446.37
20220728,20146761.36,5,9645403.16
20220729,20082943.86,5,9646360.05
