K,LB,Trail,MAX_POS,Sector,Floor,Sharpe,Ret%,CAGR%,MDD%,Calmar,Trades,Win%,NegYrs,AvgHold
1.5,14,0.18,3,1,0.8,1.2619211849702046,1333.2545986413384,58.94197052641279,36.94676997435934,1.5953213384368343,188,55.85106382978723,0,20.335106382978722
1.5,14,0.35,3,3,0.8,1.2601770011140663,1432.7473167213002,60.80930523107262,43.76552317253212,1.3894339841740408,187,55.61497326203209,0,21.86631016042781
1.5,10,0.22,5,3,0,1.2593920728342927,1189.0971821657226,56.03661119508803,50.22528473295515,1.115705196954708,265,55.094339622641506,0,21.516981132075472
1.5,14,0.2,3,3,0,1.2588609383913392,1359.6714307170284,59.44796575709395,39.91328257186274,1.489428128344482,192,55.729166666666664,0,20.494791666666668
1.5,14,0.35,3,1,0,1.258133090007564,1428.2090785208861,60.72634087276938,45.1378660695343,1.3453524980383709,189,56.08465608465608,0,21.96825396825397
1.5,10,0.28,5,1,0,1.2570001717142478,1236.77383778556,57.025942564437784,52.46468102370079,1.0869396602006682,261,54.406130268199234,0,21.988505747126435
1.5,14,0.15,8,1,0.8,1.256857221073373,1016.5011737137542,52.18163077235349,33.07839744717838,1.5775138700621858,348,48.85057471264368,1,19.50574712643678
1.5,14,0.22,3,1,0,1.2561542489734927,1372.0735848478205,59.68291510876582,37.42809460687416,1.5946020158291538,190,56.315789473684205,0,21.110526315789475
1.5,14,0.25,3,3,0.8,1.256105477881785,1378.8482730191906,59.810566726181925,37.399806355273526,1.5992212943035304,188,56.38297872340425,0,21.27127659574468
1.5,10,0.35,8,3,0.8,1.255897381294087,1301.3089873089648,58.31968114445898,48.334481754840084,1.2065854236374223,269,53.53159851301115,0,22.360594795539033
1.5,14,0.28,3,3,0.8,1.2554506599418045,1389.3860711465484,60.0081678169184,39.74082803061228,1.5099878585995803,188,56.38297872340425,0,21.52659574468085
1.5,14,0.18,8,3,0.8,1.2519429698469389,1109.0020068354465,54.30435493685633,44.59894621923094,1.2176152026085414,351,50.997150997150996,1,20.846153846153847
1.5,10,0.28,8,3,0.8,1.250835264590679,1199.5728019035657,56.256548949942406,44.46366379993278,1.2652252230736654,269,53.53159851301115,0,22.189591078066915
1.5,10,0.3,8,3,0.8,1.2495376442757884,1197.5256120098234,56.213683198819766,45.010015556357644,1.248914991563019,269,53.159851301115246,0,22.226765799256505
1.5,14,0.2,8,1,0,1.248832477883701,1066.47716377864,53.34578108838019,43.604617999862455,1.2233975100652978,374,53.20855614973262,1,21.93048128342246
1.5,10,0.2,5,1,0.8,1.248695706574716,1224.8603111586733,56.781492587525186,57.10402223733365,0.9943518926133087,238,55.04201680672269,0,20.781512605042018
1.5,10,0.18,5,1,0.8,1.2468384036582851,1188.3326888996883,56.0205027772688,54.22482428452502,1.03311543221093,239,53.55648535564853,0,20.16317991631799
1.5,21,0.18,5,1,0,1.2449267761921015,929.901387673333,50.01627337591232,31.56411861055817,1.5845927457382547,301,54.15282392026578,0,22.12956810631229
1.5,21,0.18,5,1,0.8,1.2449267761921015,929.901387673333,50.01627337591232,31.56411861055817,1.5845927457382547,301,54.15282392026578,0,22.12956810631229
1.5,10,0.22,8,3,0.8,1.2445297099730552,1152.963834285018,55.266477711371564,43.83838325123002,1.2606869508542127,269,52.78810408921933,0,21.828996282527882
1.5,14,0.3,8,3,0,1.2414134465271738,1122.209465825497,54.59640118246858,45.305236880334355,1.2050792566580144,380,52.63157894736842,1,23.268421052631577
1.5,10,0.2,5,3,0,1.2412270038763409,1129.4848696641372,54.7561647386632,53.12618238797897,1.0306813378529727,268,55.223880597014926,1,21.044776119402986
1.5,14,0.25,3,1,0,1.2391663222634814,1325.9304892719947,58.80031925668021,39.27988189299153,1.4969576389477786,190,56.84210526315789,0,21.373684210526317
1.5,10,0.25,5,1,0,1.2356455453964086,1158.1493985415946,55.3781193251301,51.773823591855425,1.0696161782774272,261,54.02298850574713,0,21.7816091954023
1.5,14,0.28,3,1,0,1.2350619691319504,1325.0853349869174,58.783934978114296,41.222156827577564,1.4260276390678306,190,56.84210526315789,0,21.66315789473684
1.5,10,0.25,8,3,0.8,1.2339180161657402,1134.1235718950252,54.857620701639334,42.957453140293524,1.2770221857073647,269,52.78810408921933,0,22.04832713754647
1.5,14,0.22,8,3,0,1.2332445143613404,1059.3354375753293,53.18197441718715,46.6112059337742,1.1409697164400505,382,53.141361256544506,1,22.55759162303665
1.5,14,0.2,3,1,0,1.2329895538707476,1261.3863981708646,57.525314512729885,39.59964669233109,1.452672418005949,191,56.02094240837696,0,20.638743455497384
1.5,14,0.35,8,3,0,1.229859227424173,1102.9926855078652,54.17060245712999,47.01264586906033,1.1522559825287437,380,52.63157894736842,1,23.41578947368421
1.5,14,0.18,8,1,0,1.2297871957628357,998.2334953957412,51.74534361648053,43.50296579616039,1.1894670321775538,377,51.9893899204244,1,21.251989389920425
1.5,14,0.25,8,3,0,1.2192859298681236,1043.302827590351,52.81118356526675,44.2113755413979,1.1945157308172036,381,53.018372703412076,1,22.89501312335958
1.5,10,0.18,5,3,0,1.2174575120069853,1039.6209227696725,52.72542514957761,51.45752584031569,1.0246397254542805,269,53.90334572490706,0,20.460966542750928
1.5,10,0.35,8,1,0.8,1.2153495236284457,1195.694570942097,56.17529599798452,53.177706808698154,1.056369282715968,263,53.2319391634981,0,22.231939163498097
1.5,14,0.28,8,3,0,1.212685154044678,1042.8917073551972,52.80161913295447,45.028325888479216,1.1726311847286355,381,53.018372703412076,1,23.128608923884514
1.5,14,0.15,5,3,0.8,1.2124841031318165,954.9132674544906,50.686253107573066,44.6081228700499,1.1362561310914083,282,49.645390070921984,1,19.319148936170212
1.5,10,0.15,3,3,0.8,1.2117716445913493,1119.4661490714573,54.53595559387037,44.637705898440935,1.2217463800211819,176,50.0,1,18.920454545454547
1.5,14,0.18,3,1,0,1.2085421118144444,1170.113778674318,55.63426128236291,40.218750580229795,1.3832916358597889,192,55.208333333333336,0,20.244791666666668
1.5,10,0.28,8,1,0.8,1.2079467351307944,1099.605302051582,54.09496437158457,49.66974677402246,1.0890928157474828,263,53.2319391634981,0,22.05703422053232
1.5,10,0.3,8,1,0.8,1.2073852634392706,1099.733182592354,54.09782306376838,50.16488246594609,1.0784002753418613,263,52.851711026615966,0,22.09505703422053
1.5,10,0.22,5,1,0,1.2073337171771303,1064.8136224802488,53.30769932166761,55.845865469438586,0.9545505092197027,261,54.406130268199234,0,21.52490421455939
1.5,10,0.35,8,3,0,1.2059194828925313,1076.2526968919806,53.568660516879184,52.72688943854666,1.0159647399513985,325,51.07692307692307,0,22.77230769230769
1.5,21,0.3,5,1,0,1.2054121529408566,938.302613412289,50.22838234730245,39.2552238560048,1.2795337133103397,296,53.71621621621622,1,23.905405405405407
1.5,21,0.3,5,1,0.8,1.2054121529408566,938.302613412289,50.22838234730245,39.2552238560048,1.2795337133103397,296,53.71621621621622,1,23.905405405405407
1.0,10,0.35,8,3,0,1.2031007221187402,952.1818122527483,50.57571014735378,46.81570671110563,1.080314998969271,434,54.14746543778802,2,24.308755760368662
1.5,14,0.15,5,1,0,1.2026546583338626,913.773421764381,49.6466719685077,38.38032413587194,1.293544884945506,296,50.67567567567568,1,19.2972972972973
1.5,21,0.28,5,1,0,1.2008823533163324,925.0246653612307,49.892492390965714,39.25522385600479,1.2709771462259478,297,53.87205387205387,1,23.77777777777778
1.5,21,0.28,5,1,0.8,1.2008823533163324,925.0246653612307,49.892492390965714,39.25522385600479,1.2709771462259478,297,53.87205387205387,1,23.77777777777778
1.5,21,0.35,5,1,0,1.1975564621612895,930.1007197676372,50.02132251574818,39.46841393382477,1.267376049101367,296,53.71621621621622,1,24.054054054054053
1.5,21,0.35,5,1,0.8,1.1975564621612895,930.1007197676372,50.02132251574818,39.46841393382477,1.267376049101367,296,53.71621621621622,1,24.054054054054053
1.5,10,0.3,8,3,0,1.1966872025306334,995.7961598686392,51.6866803297404,50.62255793133269,1.0210207157024966,325,50.76923076923077,0,22.661538461538463
1.5,21,0.2,5,1,0,1.1963889343222571,850.2018606613699,47.92954962906568,32.65217411856179,1.4678823362582512,301,53.820598006644516,0,22.591362126245848
1.5,21,0.2,5,1,0.8,1.1963889343222571,850.2018606613699,47.92954962906568,32.65217411856179,1.4678823362582512,301,53.820598006644516,0,22.591362126245848
1.5,10,0.18,8,3,0.8,1.195183228677169,991.574136544137,51.58480655453275,49.31898794377056,1.045942114897927,273,51.28205128205128,0,20.747252747252748
