date,equity,cash,positions
20221208,18414936.66,8567612.69,3
20221209,18575681.51,8568462.65,3
20221212,18412540.75,11716105.26,2
20221213,18218028.88,14936012.51,1
20221214,18256267.46,11603830.23,2
20221215,18224432.06,14845654.03,1
20221216,18130088.28,11513462.79,2
20221219,17805294.42,14698763.38,1
20221220,17827698.48,14700221.59,1
20221221,17823920.37,14701679.95,1
20221222,17658763.11,17658763.11,0
20221223,17660514.97,17660514.97,0
20221226,17662267.01,17662267.01,0
20221227,17664019.22,17664019.22,0
20221228,17632384.82,7664779.54,3
20221229,17398342.12,7665539.93,3
20221230,17250571.26,7666300.40,3
20230103,17493945.22,7667060.95,3
20230104,17530075.26,7667821.57,3
20230105,17672080.94,7668582.26,3
20230106,18139826.75,7669343.04,3
20230109,17981626.14,7670103.88,3
20230110,17937269.52,7545703.80,3
20230111,17808362.32,7546452.38,3
20230112,17847591.72,7547201.04,3
20230113,17732891.45,7547949.77,3
20230116,17746390.04,7548698.57,3
20230117,17771945.63,7739667.51,3
20230118,17547343.36,7614695.95,3
20230119,17825348.89,7615451.38,3
20230120,17814291.80,7616206.88,3
20230130,17839834.34,7616962.46,3
20230131,17287512.72,7532845.04,3
20230201,17415881.10,7387282.60,3
20230202,17493697.69,7388015.47,3
20230203,17287131.41,7388748.41,3
20230206,17190142.24,7207619.67,3
20230207,17461870.40,7208334.71,3
20230216,18472819.28,7069024.28,3
20230217,18030772.08,7069725.57,3
20230220,18364743.46,7070426.94,3
20230221,18223563.60,7071128.37,3
20230222,18244820.39,7788306.19,3
20230223,18107064.96,7789078.84,3
20230224,18176790.40,8210964.16,3
20230227,17734384.96,11304732.66,2
20230228,17903143.03,11305854.16,2
20230301,18209793.72,7973311.75,3
20230302,18185615.49,7974102.75,3
20230303,17666481.45,7843171.96,3
20230306,17221788.13,7488441.43,3
20230307,16752630.84,7201934.74,3
20230308,16966046.33,7202649.22,3
20230309,17258501.18,7203363.77,3
20230310,17101867.28,7204078.39,3
20230313,17269430.49,7204793.08,3
20230314,17688265.64,7205507.84,3
20230315,17680920.98,7206222.67,3
20230316,17260022.72,10263702.87,2
20230317,17732284.29,6931057.07,3
20230320,18489649.21,6931744.68,3
20230321,18285561.10,6932432.35,3
20230322,18770799.10,6916470.00,3
20230323,19325941.14,6917156.16,3
20230324,19447480.12,6917842.38,3
20230327,19306182.18,6918528.68,3
20230328,18762021.43,6919215.04,3
20230329,18766860.03,6919901.47,3
20230330,18992963.74,6920587.97,3
20230331,19301570.22,7065933.52,3
20230403,20866437.68,7066634.51,3
20230404,21053453.19,7067335.56,3
20230406,22342888.91,7068036.69,3
20230407,22485493.17,7068737.88,3
20230410,21850200.04,7069439.14,3
20230411,21768043.81,9182394.53,3
20230412,21822503.98,9183305.48,3
20230413,21019439.44,9786026.53,3
20230414,21538313.92,9786997.37,3
20230417,21243071.37,9787968.30,3
20230418,22019917.31,9788939.33,3
20230419,21824053.89,9789910.46,3
20230420,22429713.85,9790881.68,3
20230421,21734391.71,9740719.31,3
20230424,22137223.79,9741685.65,3
20230425,21349626.44,11416558.95,3
20230426,21332975.67,11417691.54,3
20230427,20795453.73,17576003.02,1
20230428,21289976.52,17577746.68,1
20230504,21075018.50,14245826.48,2
20230505,20670361.98,10783451.85,3
20230508,20997501.33,10784521.64,3
20230509,20873858.99,10785591.53,3
20230510,20744163.98,10786661.53,3
20230511,20653203.82,10727414.82,3
20230512,20547529.57,10547285.79,3
20230515,20695140.68,10548332.14,3
20230516,20693006.73,10549378.61,3
20230517,20572974.27,10487953.04,3
20230518,20790315.12,10488993.51,3
20230519,20614087.05,10490034.09,3
20230522,20818752.69,10491074.77,3
20230523,20687898.53,10372776.31,3
20230524,20685364.66,10362780.17,3
20230525,20611252.93,10363808.22,3
20230526,21956291.67,10364836.37,3
20230529,22494367.09,10365864.63,3
20230530,22959402.50,10366892.99,3
20230531,23337680.91,10367921.45,3
20230601,23144104.63,10615673.92,3
20230602,22427663.82,10616727.06,3
20230605,22519164.28,10617780.31,3
20230606,21925411.30,12054915.60,3
20230607,21923191.02,12056111.53,3
20230608,21825463.59,11842841.16,3
20230609,22229660.86,11844016.05,3
20230612,22417030.72,11845191.05,3
20230613,22240417.92,11846366.17,3
20230614,22426614.71,11847541.40,3
20230615,22813228.94,11848716.76,3
20230616,23327270.52,11849892.22,3
20230619,23670057.43,11851067.81,3
20230620,23993020.91,11852243.51,3
20230621,23527150.21,11956459.83,3
20230626,23654104.47,11957645.98,3
20230627,22935570.29,12365664.06,3
20230628,22571448.33,15147295.51,2
20230629,22852977.74,15148798.22,2
20230630,22952837.01,15150301.08,2
20230703,22611300.58,19266001.90,1
20230704,22598541.89,12600585.16,3
20230705,22220000.16,12314008.88,3
20230706,22534908.24,12315230.50,3
20230707,22313135.96,12316452.25,3
20230710,21918534.81,12041691.46,3
20230711,22302767.80,12042886.08,3
20230712,21678561.43,17975319.19,1
20230713,22428124.85,17977102.46,1
20230714,22797796.60,11311557.86,3
20230717,22844892.09,11312680.04,3
20230718,22573663.59,11313802.32,3
20230719,22632536.05,11314924.73,3
20230720,22233143.51,12328333.38,3
20230721,22214997.66,15606811.15,2
20230724,22170829.11,15608359.44,2
20230725,22296190.04,18868270.58,1
20230726,22336117.36,18870142.43,1
20230727,22271240.94,15538350.45,2
20230728,22615797.80,15539891.95,2
20230731,22755613.31,15541433.60,2
20230801,22694992.21,15542975.41,2
20230802,22660708.99,12210853.35,3
20230803,22858261.54,12235471.18,3
20230804,23302657.17,12236685.02,3
20230807,23258211.96,12237898.98,3
20230808,23164063.33,12239113.05,3
20230809,22892730.49,15548708.36,2
20230810,23071167.10,15550250.89,2
20230811,22855653.14,19303812.97,1
20230828,22887186.78,19305728.03,1
20230829,22975427.76,15973979.26,2
20230830,22999945.54,12641899.96,3
20230831,22905543.96,12643154.11,3
20230901,22832018.99,12644408.39,3
20230904,22699179.48,12453224.64,3
20230905,22706995.11,12454460.08,3
20230906,22592289.95,12440675.58,3
20230907,22245458.34,12441909.77,3
20230908,22327888.78,12443144.09,3
20230911,22401975.54,12444378.53,3
20230912,22202927.88,12397019.16,3
20230913,22035317.87,12398249.02,3
20230914,22040911.23,15583910.02,2
20230915,21879623.61,15585456.05,2
20230918,21730522.72,18407987.63,1
20230919,21752526.25,18409813.82,1
20230920,21766459.02,18411640.19,1
20230921,21726585.74,18413466.74,1
20230922,21729389.95,15081629.45,2
20230925,21760460.54,11749461.62,3
20230926,21893631.49,11750627.24,3
20230927,22034363.20,11678943.88,3
20230928,22682651.39,11680102.50,3
20231009,22330043.04,11681261.25,3
20231010,22147579.03,11682420.10,3
20231011,22084056.42,11683579.07,3
20231012,21660778.99,11453172.66,3
20231013,21565260.85,11454308.89,3
20231016,21104540.03,11249584.50,3
20231017,20922537.76,11250700.54,3
20231018,20642074.94,11062721.15,3
20231019,20775322.26,11063818.64,3
20231020,20399741.19,17332117.93,1
20231023,20229064.80,20229064.80,0
20231024,20231071.65,20231071.65,0
20231025,20221949.78,16899414.68,1
20231026,20226280.09,16901091.21,1
20231027,20174367.35,13569103.89,2
20231030,20531469.80,10236786.01,3
20231031,20543124.22,10237801.56,3
20231101,20420217.51,10238817.22,3
20231102,20238172.09,10239832.97,3
20231103,20667238.31,10240848.83,3
20231106,20898696.57,10241864.79,3
20231107,20918407.83,10242880.84,3
20231108,20894744.33,10243897.00,3
20231109,20822454.69,10244913.26,3
20231110,20787920.94,10245929.62,3
20231113,20626133.40,10416704.79,3
20231114,20677356.06,10483457.73,3
20231115,20509713.70,10484497.76,3
20231116,20281383.48,10508823.78,3
20231117,21004701.08,10509866.32,3
20231120,20974112.19,10510908.97,3
20231121,20607690.88,10244249.03,3
20231122,20208190.43,16735549.49,1
20231123,20347447.72,16737209.76,1
20231124,20221133.31,16738870.20,1
20231127,20072984.96,20072984.96,0
20231128,20074976.33,20074976.33,0
20231129,20054710.04,13409639.85,2
20231130,20068099.22,10077306.15,3
20231201,20246435.71,9904401.73,3
20231204,20056040.10,9905384.31,3
20231205,19860076.51,9906366.99,3
20231206,19721947.72,9862052.49,3
20231207,19846327.07,9778528.34,3
20231208,20665448.80,9779498.43,3
20231211,20867469.01,9780468.62,3
20231212,20562575.78,9781438.91,3
20231213,20391255.28,9500373.12,3
20231214,20325042.89,9501315.62,3
20231215,19982842.23,12894065.56,2
20231218,19979733.36,12895344.73,2
20231219,20078078.41,12896624.03,2
20231220,19733871.58,16548074.72,1
20231221,19776330.64,16549716.39,1
20231222,19741236.83,16551358.23,1
20231225,19748076.85,13219336.21,2
20240110,18976749.47,18976749.47,0
20240111,18967503.16,15644968.06,1
20240112,18789890.05,12312856.12,2
20240115,18655216.40,12043488.55,2
20240116,18707947.53,8711019.32,3
20240117,18439549.79,8711883.51,3
20240118,18822972.30,8712747.78,3
20240119,18691022.53,8713612.14,3
20240122,18389120.48,8333594.31,3
20240123,18664399.25,8334421.05,3
20240124,18526533.27,8335247.88,3
20240125,18628622.20,8343789.28,3
20240126,18117230.23,8344617.03,3
20240129,17015498.95,7047893.67,3
20240130,16803217.95,10189232.53,2
20240131,16965635.78,10190243.36,2
20240201,16804516.18,10191254.30,2
20240202,16862743.21,10192265.34,2
20240205,16931648.61,6681080.17,3
20240206,17453126.31,6681742.97,3
20240207,17431969.58,6682405.85,3
20240208,17342594.27,6683068.78,3
20240219,18669268.90,6683731.79,3
20240220,18906150.57,6684394.85,3
20240221,18459641.97,6685057.99,3
20240222,18785957.67,6685721.19,3
20240223,18527449.98,6686384.46,3
20240226,18220551.19,6999148.03,3
20240227,19290477.15,6999842.39,3
20240228,18352479.09,6805637.24,3
20240229,18983206.29,6806312.40,3
20240301,19330080.14,6806987.63,3
20240304,20019001.50,6807662.93,3
20240305,19845048.42,6786835.82,3
20240306,20085460.59,6787509.12,3
20240307,20216579.77,6788182.48,3
20240308,21257680.38,6788855.91,3
20240311,21351693.79,6789529.41,3
20240312,20968393.43,7810249.65,3
20240313,20809207.64,7811024.48,3
20240314,20382892.95,9811842.21,3
20240315,20507088.42,9812815.61,3
20240318,20636929.14,9813789.10,3
20240319,20497836.73,9814762.69,3
20240327,20255062.95,12721726.67,2
20240328,20354281.87,12722988.75,2
20240329,20944990.14,12724250.95,2
20240401,20633918.59,9391849.25,3
20240402,19495059.01,9462793.61,3
20240403,19721257.51,9463732.38,3
20240408,19499166.76,9464671.25,3
20240409,19210418.95,9230172.44,3
20240410,19265991.60,9231088.13,3
20240411,19257481.44,9232003.92,3
20240412,19240544.99,12321803.98,2
20240415,19239442.85,8989362.36,3
20240416,18809817.65,8721230.67,3
20240417,19064758.81,8722095.87,3
20240418,18950184.79,8722961.15,3
20240419,18722809.50,8484087.91,3
20240422,18195178.02,11710196.16,2
20240423,18402907.98,11711357.89,2
20240424,19084259.86,8378855.71,3
20240425,19048701.54,8379686.95,3
20240426,19388372.53,8380518.26,3
20240429,19630733.92,8381349.66,3
20240430,19469400.38,8382181.15,3
20240506,19299097.70,8383012.71,3
20240507,19145978.15,8383844.36,3
20240508,19192520.79,8569244.09,3
20240509,19238020.96,8570094.21,3
20240510,19103746.97,8911465.02,3
20240513,19328131.96,8912349.10,3
20240514,19372771.63,8913233.26,3
20240515,19195127.62,8914117.51,3
20240516,19197931.37,8852298.68,3
20240517,19102171.59,8853176.89,3
20240520,18900435.74,9002890.08,3
20240521,18774092.16,9003783.22,3
20240522,18985351.15,9048670.66,3
20240523,19206155.26,9049568.34,3
20240524,18612597.20,15280613.02,1
20240527,18813725.09,15282128.96,1
20240528,18889652.74,15283645.04,1
20240529,18704549.51,15285161.28,1
20240530,18488276.37,15165741.27,1
20240531,18451736.61,15167245.81,1
20240603,18334757.03,11689686.84,2
20240604,18367754.05,8357182.51,3
20240605,18422946.64,8358011.59,3
20240606,18518541.94,8358840.76,3
20240607,18490286.63,8359670.01,3
20240611,18834970.80,8360499.34,3
20240612,18687023.97,8361328.76,3
20240613,19069298.53,8362158.25,3
20240614,18879463.50,8307272.84,3
20240617,18811179.54,8308096.97,3
20240618,18723428.79,8412736.17,3
20240619,18568803.47,8413570.77,3
20240620,18496436.27,8414405.45,3
20240621,18450480.04,8415240.21,3
20240624,18146636.99,11621810.93,2
20240625,17846368.92,14658217.40,1
20240626,17847823.11,14659671.59,1
20240627,17863111.04,14661125.92,1
20240628,17768399.86,14445864.77,1
20240701,17734401.20,14447297.89,1
20240702,17737445.00,14448731.15,1
20240703,17760105.01,7782836.52,3
20240704,17801286.12,11014712.52,2
20240705,17679978.94,11015805.25,2
