K,LB,Trail,Pos,Sec,Floor,S,R,CAGR,MDD,CM,Trd,Win
1.0,14,0.22,10,3,0,1.3132895026842697,901.7457172004545,54.84699350148814,33.778472837717906,1.6237262639134054,544,52.57352941176471
1.0,10,0.15,3,1,0.8,1.3128203660599507,2589.198544458659,86.75999661645395,40.41432338928293,2.1467635565924374,182,52.197802197802204
1.0,10,0.22,8,1,0.8,1.3121625235489969,1093.2268758111582,60.072940811320066,36.018907806462046,1.6678168348164781,435,52.41379310344828
1.0,14,0.15,10,1,0,1.3085286815933705,772.6657341463922,50.84620724721513,33.21471790913566,1.5308336318349394,562,50.71174377224199
2.0,10,0.22,8,1,0.8,1.3076046685654068,1888.5454504655474,77.35556902644882,43.0926947516559,1.7950970453867086,115,63.47826086956522
2.0,10,0.22,10,1,0.8,1.3076046685654068,1888.5454504655474,77.35556902644882,43.0926947516559,1.7950970453867086,115,63.47826086956522
2.0,10,0.18,8,1,0,1.306467304883918,1773.3138324381691,75.11429109124576,38.16715403374674,1.968034897881854,134,61.19402985074627
2.0,10,0.18,10,1,0,1.306467304883918,1773.3138324381691,75.11429109124576,38.16715403374674,1.968034897881854,134,61.19402985074627
1.0,10,0.35,10,3,0.8,1.306414785196194,1034.8629291104837,58.556862922759855,35.99487327879804,1.6268111980616817,502,52.589641434262944
1.0,14,0.18,5,3,0,1.3064011332241803,1086.2873420585593,59.89586742826572,41.45417398052723,1.4448693985894236,298,53.691275167785236
1.0,14,0.18,5,3,0.8,1.3064011332241803,1086.2873420585593,59.89586742826572,41.45417398052723,1.4448693985894236,298,53.691275167785236
2.0,10,0.28,8,1,0,1.3059090747312334,1867.4283323935797,76.76321948363258,41.2761890942515,1.8597458042540884,134,61.19402985074627
2.0,10,0.28,10,1,0,1.3059090747312334,1867.4283323935797,76.76321948363258,41.2761890942515,1.8597458042540884,134,61.19402985074627
2.0,10,0.18,8,3,0,1.3058738007531507,1768.0578800699354,75.02024496354376,38.34063830934627,1.956676995261608,134,61.19402985074627
2.0,10,0.18,10,3,0,1.3058738007531507,1768.0578800699354,75.02024496354376,38.34063830934627,1.956676995261608,134,61.19402985074627
2.0,10,0.22,8,3,0.8,1.305738902853834,1872.8098470266946,77.08575722163644,43.0926947516559,1.788835849460872,115,63.47826086956522
2.0,10,0.22,10,3,0.8,1.305738902853834,1872.8098470266946,77.08575722163644,43.0926947516559,1.788835849460872,115,63.47826086956522
2.0,10,0.28,8,3,0,1.3053119720964463,1861.90832318641,76.66828778954304,41.440950357237604,1.8500610417625964,134,61.19402985074627
2.0,10,0.28,10,3,0,1.3053119720964463,1861.90832318641,76.66828778954304,41.440950357237604,1.8500610417625964,134,61.19402985074627
1.0,10,0.15,8,3,0.8,1.3051060087253743,949.5509487998279,56.22288182156725,31.81110202117661,1.7673981173031903,451,50.332594235033255
1.0,10,0.15,10,1,0.8,1.3037246477550941,853.6310027370563,53.40738728823542,32.35201086236144,1.650821258544085,507,48.91518737672584
2.0,10,0.3,8,1,0,1.303549061504933,1856.3399041286455,76.572304422254,41.64208828964666,1.8388199911984706,134,61.19402985074627
2.0,10,0.3,10,1,0,1.303549061504933,1856.3399041286455,76.572304422254,41.64208828964666,1.8388199911984706,134,61.19402985074627
2.0,10,0.3,8,3,0,1.3029506541106959,1850.8510056994928,76.47747526018584,41.80582295009064,1.8293498336700014,134,61.19402985074627
2.0,10,0.3,10,3,0,1.3029506541106959,1850.8510056994928,76.47747526018584,41.80582295009064,1.8293498336700014,134,61.19402985074627
2.0,10,0.28,5,1,0.8,1.3020579858395578,1865.926485049532,76.9671838635415,39.97990870143034,1.925146563948704,114,63.1578947368421
1.0,10,0.35,8,1,0.8,1.3011939526417253,1102.1507218904746,60.29942481722084,35.756723742012376,1.686380028894314,431,52.204176334106734
1.0,14,0.35,10,3,0.8,1.3006506355518748,928.7450865439796,55.63044077880222,35.77689280392139,1.5549265578676732,535,52.89719626168225
1.0,10,0.3,8,1,0,1.2999203709138007,1061.6108606920689,59.259330252008,33.29528910697995,1.7798112538264461,452,52.43362831858407
1.0,10,0.15,8,1,0.8,1.2999174068978214,912.1194518214933,55.150011489234466,31.676881751930292,1.7410176898448595,442,50.0
1.0,14,0.28,8,3,0,1.2998897923299924,983.1991014813827,57.16116808696077,36.80316470033841,1.5531590435872265,451,53.65853658536586
1.0,14,0.28,8,3,0.8,1.2998897923299924,983.1991014813827,57.16116808696077,36.80316470033841,1.5531590435872265,451,53.65853658536586
1.0,10,0.3,8,1,0.8,1.299846521539682,1092.2921676395642,60.04913893092516,36.24430850157122,1.6567880975939155,432,52.31481481481482
1.0,14,0.3,5,3,0,1.2997509231797177,1199.5281939131128,62.68627004531764,44.515662838821335,1.4081845815098148,295,54.23728813559322
1.0,14,0.3,5,3,0.8,1.2997509231797177,1199.5281939131128,62.68627004531764,44.515662838821335,1.4081845815098148,295,54.23728813559322
2.0,10,0.3,5,1,0.8,1.2997154424830364,1854.8465211978971,76.7756126940509,39.97990870143034,1.9203548779315784,114,63.1578947368421
1.0,14,0.35,8,3,0,1.2975780612430607,988.2492408145415,57.29994717497766,35.23934078680099,1.6260221075542804,449,53.67483296213808
1.0,14,0.35,8,3,0.8,1.2975780612430607,988.2492408145415,57.29994717497766,35.23934078680099,1.6260221075542804,449,53.67483296213808
2.0,10,0.28,5,3,0.8,1.2972069524976244,1836.128730482878,76.44998127807108,39.97990870143034,1.9122100015034793,113,62.83185840707964
1.0,10,0.35,8,1,0,1.2968122799813784,1061.1819730989664,59.248170484670084,33.07999713443235,1.79105730402255,451,52.328159645232816
1.0,10,0.18,10,3,0.8,1.2958499243628463,881.4437988879736,54.246539328462504,34.633051379722154,1.5663228380801628,517,50.67698259187621
1.0,10,0.3,10,3,0.8,1.2954609724095962,998.1659261068968,57.5709487132912,35.92967336365396,1.6023231864815477,504,52.57936507936508
1.0,14,0.22,5,1,0,1.2953977938795525,1111.655043821395,60.53914799337843,38.822743271239545,1.5593732666034117,297,52.861952861952865
1.0,14,0.22,5,1,0.8,1.2953977938795525,1111.655043821395,60.53914799337843,38.822743271239545,1.5593732666034117,297,52.861952861952865
2.0,10,0.3,5,3,0.8,1.2948634928841345,1825.2167068090457,76.25896999263344,39.97990870143034,1.9074323196217096,113,62.83185840707964
1.0,10,0.15,3,1,0,1.293839165811518,2421.0649451284035,84.48592381570418,40.41432338928292,2.0904945754481736,183,52.459016393442624
1.0,14,0.35,10,3,0,1.29335246843859,912.1839559181119,55.15188777330198,35.93365268083487,1.5348255370297244,539,52.50463821892394
1.0,10,0.22,8,3,0.8,1.2927427489094223,1074.2989009058028,59.58797585036801,38.626364606970895,1.5426762641704619,442,52.488687782805435
1.0,10,0.22,10,1,0.8,1.2923808804713377,965.4027846679443,56.66790412306044,37.4794250992739,1.5119736755022504,496,52.016129032258064
1.0,10,0.22,10,3,0,1.291455771140504,945.3703876908419,56.10461032518865,34.345555476928084,1.6335333508545928,550,52.36363636363637
1.0,21,0.28,8,1,0,1.2891810382945055,999.3407512977032,57.602922624063254,38.77798482201394,1.4854542568019822,450,53.55555555555556
1.0,21,0.28,8,1,0.8,1.2891810382945055,999.3407512977032,57.602922624063254,38.77798482201394,1.4854542568019822,450,53.55555555555556
1.0,21,0.35,8,1,0,1.2887449187033213,1017.9588222469621,58.10597062610172,39.34417791433788,1.4768632541417683,446,53.81165919282511
