rank,code,name,sector,roe,net_margin,profit_yoy,rev_yoy,gross_margin,eps_yoy,score
56,688627,精智达,半导体测试设备,-0.95,-10.660462484003954,-12.2776897626,83.163258281,27.7113265455,13.333333333333353,-0.7197853430805294
57,002460,赣锋锂业,锂矿与锂电材料,-0.86,-9.433943837196862,18.93,-24.12065333991,12.9540080297,-18.181818181818187,-0.932092759710254
58,301308,江波龙,存储芯片与模组,-2.35,-3.5666875103325153,-139.52,-4.4111885012,10.3522062762,-139.78494623655914,-0.9628200523058743
59,688141,杰华特,模拟与光芯片设计,-4.3476,-21.47275848874193,45.7722304499,60.4159208909,29.6866284654,-46.808510638297875,-1.349458232431427
60,688126,沪硅产业 - U,半导体基础材料,-1.74,-26.013803730477115,-5.4671382111,10.5965456783,2.4233265699700004,5.555555555555558,-1.391426013995568
61,688072,拓荆科技,薄膜沉积设备,-2.81,-20.73534434665381,-425.71722680302,50.2158083276,19.892254923,-1310.0,-1.5558645449705393
62,300757,罗博特科,自动化与真空设备,-2.63,-27.068400926121516,-425.71722680302,-24.12065333991,17.4688632823,-525.0,-1.6775181246550592
63,688820,盛合晶微,半导体封装测试,0.92,8.410074493604318,,,30.7137111936,,
64,688802,沐曦股份 - U,AI/GPU 算力芯片,-4.3476,-34.43016197937296,,,55.2575095931,,
65,601995,中金公司,头部券商,1.98,35.69297808538959,64.85,47.6855605713,,72.72727272727273,
66,601398,工商银行,国有大型银行,2.265,39.55182494101723,-3.99,-3.2154764991,,-4.1666666666666625,
67,601288,农业银行,国有大型银行,2.705,38.5329504912307,2.2,0.3510356358,,0.0,
68,688727,恒坤新材,半导体工艺材料,1.86,18.653403035470507,,,43.7724993675,,
69,688795,摩尔线程 - U,AI/GPU 算力芯片,-2.54,-34.43016197937296,,,72.48011917453994,,
70,600030,中信证券,头部券商,2.39,39.96246390941489,32.0,19.4664233258,,34.375,
