date,equity,positions
2020-09-09,10241939.20,1
2020-09-10,10316208.23,1
2020-09-11,10289854.71,1
2020-09-14,10297042.03,0
2020-09-15,10297042.03,0
2020-09-16,10297042.03,0
2020-09-17,10297042.03,0
2020-09-18,10297042.03,0
2020-09-21,10297042.03,0
2020-09-22,10297042.03,0
2020-09-23,10297042.03,0
2020-09-24,10297042.03,0
2020-09-25,10297042.03,0
2020-09-28,10275440.92,1
2020-09-29,10415141.02,1
2020-09-30,10417635.66,1
2020-10-09,10412646.37,1
2020-10-12,10532389.31,1
2020-10-13,10497464.29,1
2020-10-14,10375226.71,1
2020-10-15,10360258.84,1
2020-10-16,10392689.22,1
2020-10-19,10407657.09,1
2020-10-20,10365248.13,0
2020-10-21,10365248.13,0
2020-10-22,10365248.13,0
2020-10-23,10365248.13,0
2020-10-26,10365248.13,0
2020-10-27,10365248.13,0
2020-10-28,10365248.13,0
2020-10-29,10365248.13,0
2020-10-30,10365248.13,0
2020-11-02,10365248.13,0
2020-11-03,10343503.94,1
2020-11-04,10388345.72,1
2020-11-05,10380872.09,1
2020-11-06,10480520.49,1
2020-11-09,10450625.97,1
2020-11-10,10179084.08,1
2020-11-11,10159154.40,1
2020-11-12,10141715.93,1
2020-11-13,10189048.92,1
2020-11-16,10186557.71,1
2020-11-17,10164136.82,0
2020-11-18,10164136.82,0
2020-11-19,10164136.82,0
2020-11-20,10164136.82,0
2020-11-23,10164136.82,0
2020-11-24,10164136.82,0
2020-11-25,10164136.82,0
2020-11-26,10164136.82,0
2020-11-27,10164136.82,0
2020-11-30,10164136.82,0
2020-12-01,10142814.52,1
2020-12-02,10290692.05,1
2020-12-03,10401600.21,1
2020-12-04,10420084.90,1
2020-12-07,10396318.87,1
2020-12-08,10546837.07,1
2020-12-09,10488742.32,1
2020-12-10,10383115.51,1
2020-12-11,10369912.16,1
2020-12-14,10372552.83,1
2020-12-15,10454413.61,0
2020-12-16,10454413.61,0
2020-12-17,10454413.61,0
2020-12-18,10454413.61,0
2020-12-21,10454413.61,0
2020-12-22,10454413.61,0
2020-12-23,10454413.61,0
2020-12-24,10454413.61,0
2020-12-25,10454413.61,0
2020-12-28,10454413.61,0
2020-12-29,10432482.37,1
2020-12-30,10416957.84,1
2020-12-31,10466118.85,1
2021-01-04,10608427.01,1
2021-01-05,10662762.86,1
2021-01-06,10683462.23,1
2021-01-07,10613601.86,1
2021-01-08,10554091.17,1
2021-01-11,10272062.25,1
2021-01-12,10349684.89,1
2021-01-13,10331572.94,0
2021-01-14,10331572.94,0
2021-01-15,10331572.94,0
2021-01-18,10331572.94,0
2021-01-19,10331572.94,0
2021-01-20,10331572.94,0
2021-01-21,10331572.94,0
2021-01-22,10331572.94,0
2021-01-25,10331572.94,0
2021-01-26,10331572.94,0
2021-01-27,10309899.40,1
2021-01-28,10265762.33,1
2021-01-29,10312495.69,1
2021-02-01,10426732.81,1
2021-02-02,10341054.97,1
2021-02-03,10234606.75,1
2021-02-04,10161910.41,1
2021-02-05,10039884.40,1
2021-02-08,10128158.54,1
2021-02-09,10244991.95,1
2021-02-10,10226090.88,1
2021-02-18,10183863.39,1
2021-02-19,10141635.90,1
2021-02-22,9895308.86,1
2021-02-23,9895308.86,1
2021-02-24,9740474.73,1
2021-02-25,9627868.08,1
2021-02-26,9444882.29,1
2021-03-01,9677133.49,1
2021-03-02,9634906.00,1
2021-03-03,9649809.67,1
2021-03-04,9551553.31,1
2021-03-05,9458468.33,1
2021-03-08,9569653.16,1
2021-03-09,9528282.06,1
2021-03-10,9623952.74,1
2021-03-11,9711866.33,1
2021-03-12,9577410.25,1
2021-03-15,9662738.14,1
2021-03-16,9686009.39,1
2021-03-17,9696653.34,1
2021-03-18,9751128.92,1
2021-03-19,9657742.21,1
2021-03-22,9758911.15,1
2021-03-23,9720000.02,1
2021-03-24,9611048.86,1
2021-03-25,9595484.41,1
2021-03-26,9860080.08,1
2021-03-29,9813386.73,1
2021-03-30,9790040.05,1
2021-03-31,9777268.43,1
2021-04-01,9979575.10,1
2021-04-02,10104685.81,1
2021-04-06,10043461.42,1
2021-04-07,10091376.16,1
2021-04-08,10107347.74,1
2021-04-09,10160586.33,1
2021-04-12,10099361.95,1
2021-04-13,10000870.54,1
2021-04-14,10107347.74,1
2021-04-15,10083488.22,1
2021-04-16,10162512.43,1
2021-04-19,10360072.93,1
2021-04-20,10288951.15,1
2021-04-21,10257341.47,1
2021-04-22,10399585.03,1
2021-04-23,10446999.55,1
2021-04-26,10478609.23,1
2021-04-27,10439097.13,1
2021-04-28,10557633.44,1
2021-04-29,10535485.66,1
2021-04-30,10477719.29,1
2021-05-06,10631762.95,1
2021-05-07,10747295.69,1
2021-05-10,10780305.04,1
2021-05-11,10766551.14,1
2021-05-12,10794058.94,1
2021-05-13,10744544.91,1
2021-05-14,10810563.62,1
2021-05-17,10926096.36,1
2021-05-18,10971800.85,1
2021-05-19,11029503.78,1
2021-05-20,11045990.33,1
2021-05-21,10930584.46,1
2021-05-24,11070720.16,1
2021-05-25,11367478.11,1
2021-05-26,11342748.28,1
2021-05-27,11598289.85,1
2021-05-28,11540586.92,1
2021-05-31,11993967.12,1
2021-06-01,12133325.88,1
2021-06-02,11944492.00,1
2021-06-03,11896534.19,1
2021-06-04,11755658.12,1
2021-06-07,11839584.29,1
2021-06-08,11902528.92,1
2021-06-09,11893536.83,1
2021-06-10,11863563.20,1
2021-06-11,11959478.82,1
2021-06-15,11749663.40,1
2021-06-16,11719032.84,1
2021-06-17,12261809.09,1
2021-06-18,12459182.28,1
2021-06-21,12738794.29,1
2021-06-22,12681227.11,1
2021-06-23,12755242.06,1
2021-06-24,12549644.99,1
2021-06-25,12821033.12,1
2021-06-28,13018406.30,1
2021-06-29,13026630.18,1
2021-06-30,13229088.61,1
2021-07-01,13390590.22,1
2021-07-02,13401122.94,1
2021-07-05,13453786.51,1
2021-07-06,13569646.36,1
2021-07-07,13562624.55,1
2021-07-08,13534537.31,1
2021-07-09,13580179.07,1
2021-07-12,13562624.55,1
2021-07-13,13618799.03,1
2021-07-14,13604243.70,1
2021-07-15,13595660.58,1
2021-07-16,13312417.66,1
2021-07-19,13192253.99,1
2021-07-20,13286668.30,1
2021-07-21,13612826.82,1
2021-07-22,13793072.32,1
2021-07-23,13672908.66,1
2021-07-26,13561328.11,1
2021-07-27,13518412.51,1
2021-07-28,13207404.88,1
2021-07-29,13248178.96,1
2021-07-30,13282157.37,1
2021-08-02,13132652.40,1
2021-08-03,13142845.92,1
2021-08-04,13173426.48,1
2021-08-05,13156437.28,1
2021-08-06,13074889.11,1
2021-08-09,12728309.41,1
2021-08-10,12680739.65,1
2021-08-11,12640575.18,1
2021-08-12,12695808.65,1
2021-08-13,12482765.25,1
2021-08-16,12427531.78,1
2021-08-17,12127692.91,1
2021-08-18,12080349.94,1
2021-08-19,12403860.29,1
2021-08-20,12261831.35,1
2021-08-23,12530108.23,1
2021-08-24,12664246.67,1
2021-08-25,12369965.56,1
2021-08-26,12312056.75,1
2021-08-27,12447177.31,1
2021-08-30,12472914.56,1
2021-08-31,12476131.71,1
2021-09-01,12469697.40,1
2021-09-02,12460045.93,1
2021-09-03,12456828.78,1
2021-09-06,12534040.52,1
2021-09-07,12489000.34,1
2021-09-08,12315122.21,1
2021-09-09,12220720.58,1
2021-09-10,12452433.68,1
2021-09-13,12074827.15,1
2021-09-14,12194974.68,1
2021-09-15,12057663.21,1
2021-09-16,11800204.21,1
2021-09-17,11843114.04,1
2021-09-22,11834532.08,1
2021-09-23,11886023.88,1
2021-09-24,11980984.90,1
2021-09-27,12015989.10,1
2021-09-28,11907794.29,1
2021-09-29,11888701.08,1
2021-09-30,11840968.08,1
2021-10-08,11980984.90,1
2021-10-11,11933251.89,1
2021-10-12,12006442.50,1
2021-10-13,12000078.10,1
2021-10-14,12159188.13,1
2021-10-15,12101925.36,3
2021-10-18,12005317.71,3
2021-10-19,12119943.04,3
2021-10-20,12080437.13,3
2021-10-21,12028688.18,3
2021-10-22,12117797.05,3
2021-10-25,12240769.07,3
2021-10-26,12242491.10,3
2021-10-27,12099434.60,3
2021-10-28,12084065.76,3
2021-10-29,12338148.52,2
2021-11-01,12259568.69,2
2021-11-02,12305655.78,2
2021-11-03,12235722.85,2
2021-11-04,12248158.34,2
2021-11-05,12341959.40,2
2021-11-08,12404872.30,2
2021-11-09,12495352.77,2
2021-11-10,12478014.39,2
2021-11-11,12598380.16,2
2021-11-12,12550868.66,3
2021-11-15,12499033.59,3
2021-11-16,12488000.01,3
2021-11-17,12578510.78,3
2021-11-18,12437099.48,3
2021-11-19,12528645.91,3
2021-11-22,12804865.71,3
2021-11-23,12794470.71,3
2021-11-24,12765154.36,3
2021-11-25,12812457.52,3
2021-11-26,12710643.63,2
2021-11-29,12710279.69,2
2021-11-30,12665159.23,2
2021-12-01,12593706.69,2
2021-12-02,12513911.64,2
2021-12-03,12521890.21,2
2021-12-06,12455301.32,2
2021-12-07,12376305.06,2
2021-12-08,12469953.90,2
2021-12-09,12526460.86,2
2021-12-10,12526096.56,3
2021-12-13,12523298.98,3
2021-12-14,12488871.31,3
2021-12-15,12357478.16,3
2021-12-16,12404704.35,3
2021-12-17,12207253.45,3
2021-12-20,11896559.48,3
2021-12-21,11969016.49,3
2021-12-22,11960460.25,3
2021-12-23,11976412.49,3
2021-12-24,11779784.99,2
2021-12-27,11761031.35,2
2021-12-28,11831416.73,2
2021-12-29,11729043.20,2
2021-12-30,11731949.87,2
2021-12-31,11805364.04,2
2022-01-04,11584059.52,2
2022-01-05,11464418.06,2
2022-01-06,11366910.56,2
2022-01-07,11309343.37,2
2022-01-10,11296397.48,3
2022-01-11,11159887.90,3
2022-01-12,11369010.54,3
2022-01-13,11236749.02,3
2022-01-14,11358650.95,3
2022-01-17,11499082.10,3
2022-01-18,11523439.70,3
2022-01-19,11314299.08,3
2022-01-20,11238179.48,3
2022-01-21,11109821.54,3
2022-01-24,11205994.16,2
2022-01-25,11122084.84,2
2022-01-26,11129369.03,2
2022-01-27,10829023.34,2
2022-01-28,10807215.95,2
2022-02-07,10849419.06,2
2022-02-08,10725124.85,2
2022-02-09,10791868.34,2
2022-02-10,10725350.72,2
2022-02-11,10555759.02,1
2022-02-14,10623749.62,3
2022-02-15,10964901.41,3
2022-02-16,10985328.67,3
2022-02-17,11076883.02,3
2022-02-18,11020866.05,3
2022-02-21,10959827.99,3
2022-02-22,10847573.78,3
2022-02-23,11204218.45,3
2022-02-24,11005483.31,3
2022-02-25,11290699.38,3
2022-02-28,11338153.79,2
2022-03-01,11302604.81,2
2022-03-02,11337587.51,2
2022-03-03,11223811.46,2
2022-03-04,11224477.74,2
2022-03-07,11194828.69,2
2022-03-08,11187326.54,2
2022-03-09,11215559.88,2
2022-03-10,11123161.08,2
2022-03-11,11177815.42,2
2022-03-14,10963999.64,3
2022-03-15,10709788.87,3
2022-03-16,11126199.33,3
2022-03-17,11407418.87,3
2022-03-18,11499420.48,3
2022-03-21,11532004.75,3
2022-03-22,11326349.91,3
