code,name,buy_date,sell_date,ret,exit,hold_days
300757,罗博特科,20211029,20211213,0.6624,rebalance,21
002837,英维克,20211029,20211213,0.0582,rebalance,21
601288,农业银行,20211213,20220214,0.0544,rebalance,21
601138,工业富联,20211213,20220214,-0.0832,rebalance,21
601600,中国铝业,20211213,20220214,-0.0625,rebalance,21
601689,拓普集团,20211213,20220214,0.0079,rebalance,21
603986,兆易创新,20211213,20220214,-0.2087,rebalance,21
600030,中信证券,20220214,20220315,-0.2404,trail,21
300757,罗博特科,20220214,20220315,-0.1624,trail,21
601088,中国神华,20220214,20220315,-0.1221,rebalance,21
601398,工商银行,20220214,20220315,-0.0857,rebalance,21
603259,药明康德,20220214,20220315,0.0912,rebalance,21
300604,长川科技,20220315,20220411,-0.1925,trail,17
600276,恒瑞医药,20220315,20220415,-0.0645,rebalance,21
300475,香农芯创,20220315,20220415,0.1008,rebalance,21
600900,长江电力,20220315,20220415,0.1267,rebalance,21
002851,麦格米特,20220315,20220415,-0.0447,rebalance,21
688008,澜起科技,20220415,20220519,0.0686,rebalance,21
300604,长川科技,20220519,20220620,0.1656,rebalance,21
000657,中钨高新,20220519,20220620,0.2575,rebalance,21
002371,北方华创,20220519,20220620,-0.0200,rebalance,21
601899,紫金矿业,20220519,20220620,0.0016,rebalance,21
688037,芯源微,20220519,20220719,0.0900,rebalance,42
600460,士兰微,20220620,20220719,-0.0081,rebalance,21
600030,中信证券,20220620,20220719,-0.0489,rebalance,21
000938,紫光股份,20220620,20220719,0.0475,rebalance,21
300666,江丰电子,20220620,20220817,0.5580,rebalance,42
601869,长飞光纤,20220719,20220817,0.1749,rebalance,21
002466,天齐锂业,20220719,20220817,-0.0555,rebalance,21
300620,光库科技,20220719,20220831,0.0898,trail,31
300054,鼎龙股份,20220719,20220916,0.2743,rebalance,42
600460,士兰微,20220817,20220916,-0.1674,rebalance,21
600183,生益科技,20220817,20220916,-0.2017,rebalance,21
601899,紫金矿业,20220817,20220928,-0.2085,trail,29
601398,工商银行,20220916,20221024,-0.0070,rebalance,21
601689,拓普集团,20220916,20221024,-0.0950,rebalance,21
300661,圣邦股份,20220916,20221024,0.0522,rebalance,21
688012,中微公司,20221024,20221123,0.0333,rebalance,21
300502,新易盛,20221024,20221123,0.2499,rebalance,21
300373,扬杰科技,20221024,20221123,0.1633,rebalance,21
603259,药明康德,20221024,20221123,0.1048,rebalance,21
000977,浪潮信息,20221024,20221123,0.0875,rebalance,21
002371,北方华创,20221123,20221222,-0.0196,rebalance,21
300620,光库科技,20221123,20221222,-0.0902,rebalance,21
603186,华正新材,20221123,20221222,0.0505,rebalance,21
300757,罗博特科,20221123,20221222,-0.0714,rebalance,21
002384,东山精密,20221123,20230130,0.0588,rebalance,42
300666,江丰电子,20221222,20230130,0.0689,rebalance,21
002460,赣锋锂业,20221222,20230130,0.0929,rebalance,21
300661,圣邦股份,20221222,20230130,0.1220,rebalance,21
601600,中国铝业,20221222,20230308,0.2789,rebalance,42
603986,兆易创新,20230130,20230308,-0.1685,rebalance,21
000938,紫光股份,20230130,20230308,0.0674,rebalance,21
002851,麦格米特,20230130,20230308,-0.0063,rebalance,21
600111,北方稀土,20230130,20230308,-0.0754,rebalance,21
601138,工业富联,20230308,20230407,0.9075,rebalance,21
688012,中微公司,20230308,20230407,0.4473,rebalance,21
603738,泰晶科技,20230308,20230407,0.0500,rebalance,21
300054,鼎龙股份,20230308,20230407,0.1237,rebalance,21
300604,长川科技,20230308,20230407,0.1245,rebalance,21
600183,生益科技,20230407,20230504,-0.2498,trail,16
300666,江丰电子,20230407,20230509,-0.1903,trail,19
300475,香农芯创,20230407,20230511,-0.0343,rebalance,21
600030,中信证券,20230407,20230511,0.0260,rebalance,21
600900,长江电力,20230407,20230511,0.0908,rebalance,21
601689,拓普集团,20230511,20230609,0.1800,rebalance,21
600183,生益科技,20230511,20230609,0.0189,rebalance,21
601398,工商银行,20230511,20230609,0.0115,rebalance,21
300476,胜宏科技,20230511,20230609,0.5897,rebalance,21
601869,长飞光纤,20230511,20230609,0.0497,rebalance,21
000977,浪潮信息,20230609,20230629,0.0484,trail,12
300394,天孚通信,20230609,20230712,0.1433,trail,21
002837,英维克,20230609,20230712,-0.0019,rebalance,21
603186,华正新材,20230609,20230712,-0.0100,rebalance,21
300757,罗博特科,20230609,20230712,-0.0574,rebalance,21
300475,香农芯创,20230712,20230727,-0.0042,trail,11
300054,鼎龙股份,20230712,20230810,0.0250,rebalance,21
600111,北方稀土,20230712,20230810,-0.0130,rebalance,21
601600,中国铝业,20230712,20230810,0.1002,rebalance,21
601088,中国神华,20230712,20230810,-0.0206,rebalance,21
000657,中钨高新,20230810,20230922,-0.0680,rebalance,21
600030,中信证券,20230810,20230922,-0.0976,rebalance,21
600276,恒瑞医药,20230810,20230922,0.0981,rebalance,21
002466,天齐锂业,20230810,20230922,-0.1535,rebalance,21
603259,药明康德,20230810,20230922,0.0017,rebalance,21
300620,光库科技,20230922,20231023,-0.2345,trail,15
002384,东山精密,20230922,20231031,0.0562,rebalance,21
002371,北方华创,20230922,20231031,0.0852,rebalance,21
300604,长川科技,20231031,20231129,-0.0256,rebalance,21
601689,拓普集团,20231031,20231129,0.1340,rebalance,21
603738,泰晶科技,20231031,20231129,0.0197,rebalance,21
688008,澜起科技,20231031,20231129,0.0477,rebalance,21
000977,浪潮信息,20231031,20240112,0.0200,rebalance,42
300475,香农芯创,20231129,20240112,-0.1315,rebalance,21
300757,罗博特科,20231129,20240112,-0.0643,rebalance,21
601600,中国铝业,20231129,20240112,-0.0204,rebalance,21
