code,name,buy_date,sell_date,buy_px,sell_px,ret,pnl,exit,hold_days,dev_at_buy
601869,长飞光纤,20210908,20220210,30.2380,27.6161,-0.086709,-173418.14,trail,70,0.086302
002837,英维克,20210924,20220105,8.4674,9.8629,0.164801,329602.96,trail,57,0.045439
600460,士兰微,20210927,20211220,58.8607,53.9370,-0.083650,-167300.23,trail,45,0.041757
300476,胜宏科技,20211008,20220211,25.8237,22.9536,-0.111141,-222281.08,trail,56,0.053939
300502,新易盛,20211216,20220311,11.9989,10.8890,-0.092497,-184993.67,trail,37,0.066515
688008,澜起科技,20211220,20220331,80.4807,65.5732,-0.185231,-370462.41,trail,49,0.051010
300666,江丰电子,20220107,20220411,53.8444,48.3381,-0.102265,-204529.15,trail,41,0.032349
601088,中国神华,20220210,20220803,14.0254,18.4705,0.316927,633854.14,trail,118,0.084530
601600,中国铝业,20220211,20220315,5.6784,4.9115,-0.135053,-270105.37,trail,22,0.065366
300373,扬杰科技,20220311,20220411,71.1806,63.3217,-0.110408,-220816.88,trail,19,0.048315
601689,拓普集团,20220317,20220411,39.2471,30.9435,-0.211572,-423144.97,trail,15,0.037494
300475,香农芯创,20220406,20220426,20.2857,16.3983,-0.191634,-383268.72,trail,14,0.032706
601899,紫金矿业,20220414,20220426,11.1461,8.5777,-0.230430,-460859.54,trail,8,0.034670
002371,北方华创,20220418,20220509,200.2688,152.5956,-0.238046,-476091.74,trail,12,0.033133
600183,生益科技,20220419,20220919,13.4636,11.6063,-0.137950,-275899.53,trail,104,0.036375
002050,三花智控,20220428,20220831,15.0488,24.1989,0.608035,1216069.44,trail,85,0.037699
002466,天齐锂业,20220429,20220721,72.3143,110.2351,0.524389,1048778.00,trail,55,0.062511
300394,天孚通信,20220509,20220707,6.6315,6.8741,0.036589,73178.96,trail,42,0.095925
300620,光库科技,20220707,20220831,25.0813,25.4642,0.015266,30532.77,trail,39,0.057099
300308,中际旭创,20220721,20220901,21.3592,18.1616,-0.149704,-299407.85,trail,30,0.071733
