date,equity,positions
2022-02-08,12982637.28,4
2022-02-09,12888341.78,4
2022-02-10,13200849.05,4
2022-02-11,13394942.58,4
2022-02-14,13320516.71,4
2022-02-15,13127875.73,4
2022-02-16,13138413.78,4
2022-02-17,13441794.49,4
2022-02-18,13565011.01,4
2022-02-21,13731702.95,4
2022-02-22,13820468.87,4
2022-02-23,13565823.63,4
2022-02-24,13354383.49,4
2022-02-25,13191090.25,3
2022-02-28,13303162.01,3
2022-03-01,13203284.32,3
2022-03-02,13249445.96,3
2022-03-03,13276868.13,3
2022-03-04,13233682.81,3
2022-03-07,13008040.59,5
2022-03-08,12724630.19,5
2022-03-09,12628236.93,5
2022-03-10,12917593.42,5
2022-03-11,12905102.07,5
2022-03-14,12400582.21,5
2022-03-15,11959082.09,2
2022-03-16,12353611.21,2
2022-03-17,12399240.26,2
2022-03-18,12311137.43,2
2022-03-21,12371027.13,2
2022-03-22,12372781.72,2
2022-03-23,12313490.41,2
2022-03-24,12288704.79,2
2022-03-25,12086972.35,2
2022-03-28,12015630.57,2
2022-03-29,11965272.98,1
2022-03-30,12139393.27,1
2022-03-31,12045274.19,1
2022-04-01,12138608.94,1
2022-04-06,11991155.73,1
2022-04-07,11765574.59,5
2022-04-08,11607331.25,5
2022-04-11,11060847.23,3
2022-04-12,11116540.45,3
2022-04-13,11214204.57,3
2022-04-14,11261498.84,3
2022-04-15,11093336.70,3
2022-04-18,10947092.70,2
2022-04-19,10903225.90,2
2022-04-20,10958739.19,2
2022-04-21,10802199.28,2
2022-04-22,10802251.72,2
2022-04-25,10374042.55,0
2022-04-26,10374042.55,0
2022-04-27,10374042.55,0
2022-04-28,10374042.55,0
2022-04-29,10374042.55,0
2022-05-05,10374042.55,0
2022-05-06,10374042.55,0
2022-05-09,10374042.55,0
2022-05-10,10374042.55,0
2022-05-11,10304244.61,5
2022-05-12,10208469.15,5
2022-05-13,10503626.81,5
2022-05-16,10539473.63,5
2022-05-17,10626606.66,5
2022-05-18,10560915.20,5
2022-05-19,10713964.70,5
2022-05-20,11046515.91,5
