rank,code,name,roe,net_margin,profit_yoy,gross_margin,rev_yoy,score
34,688012,中微公司,1.57,14.405998780072663,25.67,41.5370612685,35.4047200139,-0.0346207478257933
35,688498,源杰科技,0.69,16.966771973454254,35.93,44.6413840903,40.5207571661,-0.08061800458088687
36,002384,东山精密,2.39,5.299345527338841,57.55,14.1327156047,11.0711046623,-0.09815544985306496
37,301018,申菱环境,2.11,8.61362976651042,7.34,21.9930286491,27.1791711001,-0.0982724319347028
38,301629,矽电股份,1.59,12.455042173839532,-17.86,35.3400754128,-0.5073105446,-0.09972076913288234
39,603986,兆易创新,1.41,12.290331676135564,14.57,37.440423888,17.3168760221,-0.10285969204398104
40,688195,腾景科技,1.4,11.511092273766511,15.81,34.5898995357,20.6025534305,-0.11872101904806004
41,688981,中芯国际,0.9,8.32075901696114,166.5,23.0968613439,29.4375668882,-0.1419050064761555
42,601869,长飞光纤,1.15,5.242212164751511,161.91,27.8421796935,21.2326881078,-0.1767032821453092
43,000938,紫光股份,2.58,1.6765262805607213,-15.75,15.6672489402,22.2479290011,-0.19607385322345214
44,000977,浪潮信息,2.3,0.9873663826013586,52.78,3.4478014409,165.3117922327,-0.1976655038509545
45,300661,圣邦股份,1.29,7.569610484740642,9.9,49.0653292616,8.3007659435,-0.2139686130679125
46,688503,聚和材料,1.91,2.9944339080714197,18.24,6.3305710347,1.3829694374,-0.22642993030453726
47,301392,汇成真空,1.12,8.544809380543105,-17.76,25.8910971782,35.8230926437,-0.23280753260579737
48,002851,麦格米特,1.77,4.63041536121575,-22.57,22.9516683331,26.5098175174,-0.23724636097863927
49,002837,英维克,1.63,5.148102874261486,-22.53,26.4533338345,25.0710648384,-0.24341841197274638
50,300620,光库科技,0.56,4.088956169951456,66.97,26.9031398204,65.5312545375,-0.3316473829001288
51,002466,天齐锂业,0.25,4.03507895985068,102.68,44.3146214787,-0.0167251016,-0.34573997766551107
52,600584,长电科技,0.73,2.17847211078497,50.39,12.6334720607,36.4383328133,-0.3605303296571371
53,688261,东微半导,0.27,2.7593136082297978,81.78,13.6151147369,63.4150349675,-0.38251518997182243
54,603738,泰晶科技,0.49,4.333845104300842,-71.52,17.8744546142,10.0906846512,-0.42617841272410084
55,300475,香农芯创,0.57,0.21159741362352288,18.66,1.984265911,243.3324831079,-0.43938844640292896
56,688037,芯源微,0.17,1.6926015200099718,-70.89,34.2942212262,12.7371339532,-0.5160022823338587
57,688347,华虹宏力,0.05,0.5818051755430906,-89.73,17.7528799528,18.6592323213,-0.5646356356780605
58,688409,富创精密,-0.48,-2.9079763857508776,-136.67,24.1473363516,8.6187038758,-0.7273907220792921
59,002460,赣锋锂业,-0.86,-9.433943837196862,18.93,12.9540080297,-25.4274604827,-0.7995506762213961
60,688702,盛科通信,-0.65,-6.81507062633204,-150.4240893434,44.0530413211,-12.3002337689,-0.8341867460373115
61,688627,精智达,-0.95,-10.660462484003954,-12.2776897626,27.7113265455,83.163258281,-0.8550914925696359
62,301308,江波龙,-2.35,-3.5666875103325153,-139.52,10.3522062762,-4.4111885012,-0.9626987150541598
63,688126,沪硅产业,-1.74,-26.013803730477115,-5.4671382111,-11.4476473002,10.5965456783,-1.2490711195345174
64,688141,杰华特,-4.3476,-21.47275848874193,45.7722304499,29.6866284654,60.4159208909,-1.4322597302236317
65,688072,拓荆科技,-2.81,-20.73534434665381,-425.71722680302,19.892254923,50.2158083276,-1.5467616615413762
66,300757,罗博特科,-2.63,-27.068400926121516,-425.71722680302,17.4688632823,-63.238367066,-1.6515194335500842
67,688820,盛合晶微,0.92,8.410074493604318,,30.7137111936,,
68,688802,沐曦股份,-4.3476,-34.43016197937296,,55.2575095931,,
69,688727,恒坤新材,1.86,18.653403035470507,,43.7724993675,,
70,688795,摩尔线程,-2.54,-34.43016197937296,,77.6359783358,,
