date,equity,positions
2022-05-24,10257667.42,4
2022-05-25,10290446.75,4
2022-05-26,10216695.80,3
2022-05-27,10212557.78,3
2022-05-30,10241720.67,1
2022-05-31,10494394.70,1
2022-06-01,10595464.31,1
2022-06-02,10780758.60,1
2022-06-06,11235571.85,1
2022-06-07,11235571.85,1
2022-06-08,11302951.59,1
2022-06-09,10982897.82,1
2022-06-10,11201881.98,1
2022-06-13,11117657.31,1
2022-06-14,10959857.93,3
2022-06-15,10958697.15,3
2022-06-16,11038060.77,3
2022-06-17,11287088.53,3
2022-06-20,11424331.07,3
2022-06-21,11329396.39,3
2022-06-22,11215467.83,3
2022-06-23,11452025.12,3
2022-06-24,11703052.24,3
2022-06-27,11688031.79,3
2022-06-28,11760099.68,1
2022-06-29,11511996.31,1
2022-06-30,11611237.66,1
2022-07-01,11511996.31,1
2022-07-04,11627777.89,1
2022-07-05,11578157.21,1
2022-07-06,11545076.76,1
2022-07-07,11760099.68,1
2022-07-08,11611237.66,1
2022-07-11,11478915.87,1
2022-07-12,11181191.82,0
2022-07-13,11181191.82,0
2022-07-14,11181191.82,0
2022-07-15,11181191.82,0
2022-07-18,11181191.82,0
2022-07-19,11181191.82,0
2022-07-20,11181191.82,0
2022-07-21,11181191.82,0
2022-07-22,11181191.82,0
2022-07-25,11181191.82,0
2022-07-26,11157735.95,1
2022-07-27,11279015.69,1
2022-07-28,11410402.07,1
2022-07-29,11198162.53,1
2022-08-01,11339655.56,1
2022-08-02,11349762.20,1
2022-08-03,11319442.27,1
2022-08-04,11460935.30,1
2022-08-05,11986480.83,1
2022-08-08,11925840.96,1
2022-08-09,11941164.74,4
2022-08-10,11864508.65,4
2022-08-11,11967981.20,4
2022-08-12,11910990.45,4
2022-08-15,11965442.61,4
2022-08-16,11958552.61,4
2022-08-17,12030300.83,4
2022-08-18,12077348.61,4
2022-08-19,11923870.78,4
2022-08-22,11968516.75,4
2022-08-23,11994382.79,0
2022-08-24,11994382.79,0
2022-08-25,11994382.79,0
2022-08-26,11994382.79,0
2022-08-29,11994382.79,0
2022-08-30,11994382.79,0
2022-08-31,11994382.79,0
2022-09-01,11994382.79,0
2022-09-02,11994382.79,0
2022-09-05,11994382.79,0
2022-09-06,11969221.00,1
2022-09-07,11896881.21,1
2022-09-08,11981277.63,1
2022-09-09,11972235.16,1
2022-09-13,11981277.63,1
2022-09-14,11893867.06,1
2022-09-15,11842626.37,1
2022-09-16,11800428.16,1
2022-09-19,11845640.53,1
2022-09-20,11866739.63,1
2022-09-21,11881810.42,0
2022-09-22,11881810.42,0
2022-09-23,11881810.42,0
2022-09-26,11881810.42,0
2022-09-27,11881810.42,0
2022-09-28,11881810.42,0
2022-09-29,11881810.42,0
2022-09-30,11881810.42,0
2022-10-10,11881810.42,0
2022-10-11,11881810.42,0
2022-10-12,11856884.79,1
2022-10-13,11862808.79,1
2022-10-14,11842074.80,1
2022-10-17,11785796.80,1
2022-10-18,11836150.80,1
2022-10-19,11794682.80,1
2022-10-20,11756176.80,1
2022-10-21,11735442.81,1
2022-10-24,11877618.79,1
2022-10-25,11901314.79,1
2022-10-26,11867480.89,4
2022-10-27,11843399.36,4
2022-10-28,11588090.86,4
2022-10-31,11736028.08,4
2022-11-01,11959856.66,4
2022-11-02,12157368.92,4
2022-11-03,12220956.23,4
2022-11-04,12531254.44,4
2022-11-07,12476307.47,4
2022-11-08,12367890.68,4
2022-11-09,12192799.19,1
2022-11-10,12198726.65,1
2022-11-11,12290602.39,1
2022-11-14,12183907.99,1
2022-11-15,12219472.79,1
2022-11-16,12308384.79,1
