date,equity,positions,cash
20201126,11897014.07,5,1102745.54
20201127,12078642.40,5,1102854.94
20201130,12194165.01,5,1102964.35
20201201,12304192.70,5,1103073.77
20201202,12469308.36,5,1103183.21
20201203,11898401.19,5,1103292.65
20201204,11928263.08,5,1103402.10
20201207,11699020.84,4,3580184.17
20201208,11826932.77,4,3580539.34
20201209,11718848.60,4,3580894.55
20201210,11528611.64,4,3581249.80
20201211,11286183.50,4,3581605.08
20201214,11362704.62,5,1395099.34
20201215,11445496.71,5,1395237.74
20201216,11480507.76,5,1395376.15
20201217,11792848.30,5,1395514.58
20201218,11689166.84,5,1395653.03
20201221,11984190.80,5,1395791.49
20201222,11747707.15,5,1395929.96
20201223,12041090.65,5,1396068.44
20201224,11771270.04,5,1396206.94
20201225,11791442.71,5,1396345.45
20201228,11872706.52,5,1396483.98
20201229,11857435.79,5,1396622.52
20201230,11955389.56,5,1396761.07
20201231,12119294.81,5,1396899.64
20210104,12689783.35,5,1397038.22
20210105,13020108.89,5,1397176.82
20210106,13196701.78,5,1397315.43
20210107,13470815.33,5,1397454.05
20210108,13947602.88,5,1397592.69
20210111,13945420.07,5,1397731.34
20210112,14746113.72,5,1397870.00
20210113,14919238.26,5,4798927.10
20210114,15007408.38,5,4799403.18
20210115,14935131.56,5,4799879.31
20210118,15345239.01,5,4800355.49
20210119,15117299.39,5,4800831.71
20210120,15272197.98,5,4801307.99
20210121,15278490.25,5,4801784.31
20210122,15062681.24,5,4802260.68
20210125,15023845.36,5,4802737.09
20210126,14860174.40,5,4803213.55
20210127,15025745.31,5,4803690.06
20210128,14807791.71,5,4804166.62
20210129,14513984.66,5,4804643.22
20210201,14526762.69,5,4805119.87
20210202,14477433.03,5,4805596.57
20210203,14204886.07,5,4806073.32
20210204,14111932.21,5,4806550.11
20210205,13823756.81,4,6775823.94
20210208,14057146.57,4,6776496.14
20210209,14158475.50,4,6777168.41
20210210,14177382.77,4,6777840.75
20210218,14184003.49,5,4216398.21
20210219,14280691.22,5,4216816.50
20210222,14123298.37,5,4217234.84
20210223,14118871.90,5,4217653.21
20210224,14225575.09,5,4218071.63
20210225,14024139.41,5,4218490.09
20210226,13899413.31,5,4218908.59
20210301,14172686.73,5,4219327.13
20210302,14284794.42,5,4219745.72
20210303,14472304.46,5,4220164.34
20210304,14333806.51,5,4220583.01
20210305,14419858.22,5,4221001.72
20210308,14379630.60,5,4221420.47
20210309,14205124.13,4,5758348.45
20210310,13915324.50,4,5758919.71
20210311,14226569.46,4,5759491.03
20210312,14323887.29,4,5760062.41
20210315,14166484.33,4,5760633.84
20210316,14107480.95,4,5761205.34
20210317,14127701.32,4,5761776.88
20210318,13981358.53,4,5762348.49
20210319,13822666.97,3,7842103.80
20210322,13863774.24,3,7842881.79
20210323,13866704.70,3,7843659.85
