K,LB,Trail,Pos,Sec,Floor,S,R,CAGR,MDD,CM,Trd,Win,Neg
2.0,30,0.28,8,1,0,1.6062219676082983,358.1168745144419,89.29891636832821,37.023107905481325,2.411977854379626,199,50.25125628140703,0
2.0,30,0.35,8,1,0.8,1.6032717683403577,358.6200773453889,89.38607342072223,37.077198549627795,2.410809794625639,197,49.746192893401016,1
0.5,30,0.22,8,3,0,1.599858605771831,305.27098071084316,79.81602753997741,28.51405440710027,2.7991819893596914,197,57.360406091370564,0
0.5,30,0.22,8,3,0.8,1.599858605771831,305.27098071084316,79.81602753997741,28.51405440710027,2.7991819893596914,197,57.360406091370564,0
0.5,10,0.35,8,3,0,1.598672947053042,323.233940890569,83.1158463259488,28.17479503523574,2.95000713304225,208,57.692307692307686,0
0.5,10,0.35,8,3,0.8,1.598672947053042,323.233940890569,83.1158463259488,28.17479503523574,2.95000713304225,208,57.692307692307686,0
1.0,10,0.3,5,3,0,1.5986482921722718,421.36036349247934,99.84661803950546,31.264806723259824,3.1935786113535567,135,52.59259259259259,0
1.0,10,0.3,5,3,0.8,1.5986482921722718,421.36036349247934,99.84661803950546,31.264806723259824,3.1935786113535567,135,52.59259259259259,0
0.5,30,0.3,5,3,0,1.598229270359793,452.0223744215989,104.69314579197015,32.46796775425228,3.2245056599903346,126,57.14285714285714,0
0.5,30,0.3,5,3,0.8,1.598229270359793,452.0223744215989,104.69314579197015,32.46796775425228,3.2245056599903346,126,57.14285714285714,0
1.0,10,0.1,5,1,0,1.597950238823355,314.0808414928979,81.44479600596021,32.103343585510984,2.5369568060417924,141,44.680851063829785,0
1.0,10,0.1,5,1,0.8,1.597950238823355,314.0808414928979,81.44479600596021,32.103343585510984,2.5369568060417924,141,44.680851063829785,0
0.5,14,0.1,8,3,0,1.5953171611937842,265.12907088776865,72.12122790608058,22.35044273689564,3.2268366562164057,217,48.38709677419355,0
0.5,14,0.1,8,3,0.8,1.5953171611937842,265.12907088776865,72.12122790608058,22.35044273689564,3.2268366562164057,217,48.38709677419355,0
0.5,10,0.3,8,3,0,1.59259885687977,320.199602108572,82.564223659109,28.17479503523577,2.9304285463604294,208,57.692307692307686,0
0.5,10,0.3,8,3,0.8,1.59259885687977,320.199602108572,82.564223659109,28.17479503523577,2.9304285463604294,208,57.692307692307686,0
2.0,30,0.3,8,1,0,1.5867942193075333,350.16448979752874,87.91407879069442,36.6721252942659,2.397299804285975,198,50.505050505050505,0
0.5,21,0.3,8,1,0,1.5862562855828584,329.27403334559375,84.20709882774864,25.084104842958578,3.3569903871370013,199,58.79396984924623,0
0.5,21,0.3,8,1,0.8,1.5862562855828584,329.27403334559375,84.20709882774864,25.084104842958578,3.3569903871370013,199,58.79396984924623,0
0.5,30,0.18,8,3,0,1.5849206917605407,286.5247622623506,76.28044367313207,29.389337768954405,2.595514205621583,199,56.28140703517588,0
0.5,30,0.18,8,3,0.8,1.5849206917605407,286.5247622623506,76.28044367313207,29.389337768954405,2.595514205621583,199,56.28140703517588,0
2.0,30,0.18,8,3,0,1.5826508477918158,317.6534223602621,82.09955752709534,34.84652375907225,2.356032931569561,204,48.529411764705884,0
2.5,30,0.18,8,1,0,1.582326872222582,314.89604667190974,81.59448997928878,30.497552953724487,2.6754438332510255,174,51.724137931034484,0
0.5,14,0.1,8,1,0,1.5822555156576552,257.15495997685645,70.53497122609704,18.229836522484067,3.8692048137185204,215,47.44186046511628,0
