code,name,buy_date,sell_date,buy_px,sell_px,ret,pnl,exit,hold_days,dev_at_buy
000977,浪潮信息,20210205,20210226,27.9606,30.5351,0.092076,306918.43,ma10,10,0.036034
601088,中国神华,20210224,20210226,4.7153,4.3038,-0.087264,-290880.88,trail,2,0.163967
600460,士兰微,20210208,20210304,23.7469,27.0582,0.139438,464793.11,ma10,13,0.035695
600111,北方稀土,20210304,20210305,22.4026,20.5925,-0.080798,-269326.96,ma10,1,0.060983
000657,中钨高新,20210305,20210309,5.4276,5.2104,-0.040017,-133389.65,ma10,2,0.046495
603186,华正新材,20210226,20210310,32.1441,35.4765,0.103668,345561.54,ma10,8,0.032645
601869,长飞光纤,20210302,20210310,22.5731,22.0669,-0.022424,-74747.81,ma10,6,0.034717
300475,香农芯创,20210309,20210319,13.0322,12.7819,-0.019209,-64028.50,ma10,8,0.043163
601600,中国铝业,20210315,20210319,4.0531,3.6463,-0.100380,-334601.49,ma10,4,0.065666
601088,中国神华,20210315,20210323,5.7888,4.6824,-0.191125,-637084.59,trail,6,0.071484
002466,天齐锂业,20210319,20210323,37.7724,34.1216,-0.096653,-322175.59,ma10,2,0.048656
300757,罗博特科,20210323,20210402,24.8505,24.8166,-0.001365,-4549.20,ma10,8,0.041085
601088,中国神华,20210329,20210406,6.5312,6.0472,-0.074094,-246980.21,trail,5,0.044344
603259,药明康德,20210329,20210409,108.2707,109.9462,0.015474,51580.88,ma10,8,0.046654
600460,士兰微,20210406,20210412,29.9570,26.6198,-0.111401,-371336.69,trail,4,0.104963
000657,中钨高新,20210409,20210414,5.7587,5.4196,-0.058877,-196258.21,ma10,3,0.059989
300661,圣邦股份,20210402,20210416,65.8132,64.7363,-0.016363,-54542.00,ma10,9,0.070926
300475,香农芯创,20210414,20210426,13.1526,12.8716,-0.021369,-71229.86,ma10,8,0.036948
300394,天孚通信,20210426,20210430,7.1130,6.4159,-0.098016,-326720.25,ma10,4,0.069976
600460,士兰微,20210430,20210507,35.7859,32.5674,-0.089938,-299793.36,trail,2,0.067521
601600,中国铝业,20210412,20210513,3.6117,4.8019,0.329547,1098490.09,trail,20,0.045480
601600,中国铝业,20210513,20210519,4.8357,4.7720,-0.013158,-43859.88,ma10,4,0.066056
002466,天齐锂业,20210416,20210520,34.1105,44.1937,0.295603,985341.76,ma10,21,0.061109
600460,士兰微,20210507,20210526,32.7962,36.5126,0.113315,377718.07,ma10,13,0.064228
002460,赣锋锂业,20210520,20210608,79.1564,82.5493,0.042863,142875.33,ma10,13,0.044623
300620,光库科技,20210526,20210610,18.5802,18.9586,0.020368,67894.44,ma10,11,0.044616
601689,拓普集团,20210519,20210617,19.8242,24.6273,0.242283,807611.43,ma10,20,0.064905
300475,香农芯创,20210617,20210709,17.9883,22.1068,0.228956,763185.20,ma10,15,0.055205
600460,士兰微,20210610,20210714,43.5912,59.0677,0.355036,1183453.35,ma10,22,0.058454
603738,泰晶科技,20210709,20210727,23.7670,24.7668,0.042066,140220.03,ma10,12,0.144259
300604,长川科技,20210608,20210803,27.1780,46.1961,0.699759,2332528.79,trail,38,0.081377
688012,中微公司,20210727,20210803,134.5358,124.7106,-0.073031,-243435.78,trail,5,0.118886
600111,北方稀土,20210714,20210810,31.5522,43.8649,0.390232,1300772.49,ma10,19,0.129524
300661,圣邦股份,20210803,20210810,133.7533,129.6719,-0.030514,-101714.38,trail,5,0.104562
000977,浪潮信息,20210810,20210812,33.2878,31.1029,-0.065637,-218789.64,ma10,2,0.044282
000938,紫光股份,20210810,20210812,29.7163,27.9149,-0.060618,-202059.94,ma10,2,0.042386
002837,英维克,20210803,20210817,7.0629,8.1792,0.158056,526854.25,trail,10,0.157895
601088,中国神华,20210812,20210818,6.2904,5.9177,-0.059242,-197472.25,ma10,4,0.034261
601600,中国铝业,20210812,20210819,5.7486,5.3698,-0.065900,-219667.12,ma10,5,0.036265
002050,三花智控,20210817,20210825,23.1349,22.4953,-0.027647,-92157.84,ma10,6,0.051073
002371,北方华创,20210823,20210830,292.4373,256.4348,-0.123112,-410373.86,trail,5,0.056489
002466,天齐锂业,20210820,20210901,113.7184,117.8464,0.036300,121001.39,trail,8,0.054985
600111,北方稀土,20210825,20210903,46.7314,50.3903,0.078297,260990.91,trail,7,0.084390
601088,中国神华,20210901,20210910,7.9357,10.7396,0.353323,1177743.13,trail,7,0.116065
600030,中信证券,20210903,20210914,22.3524,22.0968,-0.011434,-38114.46,ma10,7,0.046768
601088,中国神华,20210910,20210917,10.8150,9.9625,-0.078829,-262762.29,trail,5,0.127603
601600,中国铝业,20210830,20210923,7.1532,8.8367,0.235359,784530.69,ma10,16,0.116837
002837,英维克,20210917,20210927,7.9859,7.8604,-0.015710,-52366.45,trail,4,0.034414
688037,芯源微,20210914,20210928,110.5481,109.0196,-0.013826,-46087.92,ma10,8,0.067461
600460,士兰微,20210927,20210929,58.8607,56.0191,-0.048276,-160918.98,ma10,2,0.041757
603259,药明康德,20210923,20211008,145.1101,143.4202,-0.011646,-38819.49,ma10,6,0.044818
300476,胜宏科技,20211008,20211012,25.8237,23.4318,-0.092623,-308742.12,ma10,2,0.053939
600276,恒瑞医药,20210928,20211014,49.6308,49.9520,0.006472,21572.47,ma10,7,0.037395
688008,澜起科技,20210929,20211014,58.9911,57.6131,-0.023359,-77862.73,ma10,6,0.031984
601869,长飞光纤,20211014,20211021,34.1506,30.4653,-0.107913,-359710.79,trail,5,0.115681
000657,中钨高新,20211014,20211026,9.3102,9.9525,0.068997,229991.57,ma10,8,0.088402
603738,泰晶科技,20211021,20211026,25.9942,24.1690,-0.070215,-234049.90,ma10,3,0.057646
600111,北方稀土,20211026,20211101,53.2726,44.9209,-0.156772,-522574.23,trail,4,0.062348
002837,英维克,20211026,20211105,10.6344,10.6200,-0.001356,-4521.47,trail,8,0.082699
603738,泰晶科技,20211105,20211110,29.6561,27.7256,-0.065094,-216980.03,ma10,3,0.072375
002466,天齐锂业,20211110,20211115,98.1379,91.0074,-0.072658,-242192.41,ma10,3,0.077022
688008,澜起科技,20211101,20211116,70.7592,72.8657,0.029770,99233.35,ma10,11,0.079266
601689,拓普集团,20211012,20211118,27.5793,35.9447,0.303320,1011065.62,ma10,27,0.091358
688037,芯源微,20211115,20211118,102.7629,95.5902,-0.069799,-232662.12,ma10,3,0.113271
300476,胜宏科技,20211118,20211214,25.1314,28.2038,0.122254,407514.57,ma10,8,0.032687
002466,天齐锂业,20211119,20211215,104.9901,106.2401,0.011906,39685.88,ma10,8,0.052376
300757,罗博特科,20211116,20211220,39.1970,44.4029,0.132813,442711.43,ma10,14,0.075912
002851,麦格米特,20211214,20211220,34.3112,31.2623,-0.088858,-296193.80,ma10,4,0.069084
688008,澜起科技,20211220,20211228,80.4807,78.0761,-0.029878,-99593.32,ma10,6,0.051010
601869,长飞光纤,20211220,20211229,32.3347,32.5375,0.006271,20903.98,ma10,7,0.076132
300502,新易盛,20211215,20220105,12.1494,12.6723,0.043043,143476.04,ma10,14,0.061266
002050,三花智控,20211229,20220210,23.3456,17.6237,-0.245098,-816993.10,trail,7,0.035752
300666,江丰电子,20211228,20220211,47.5641,49.5834,0.042454,141512.94,ma10,9,0.049168
601088,中国神华,20220210,20220223,14.0254,13.8379,-0.013370,-44567.25,ma10,9,0.084530
601600,中国铝业,20220210,20220223,5.7888,5.6388,-0.025908,-86361.44,ma10,9,0.063075
601899,紫金矿业,20220211,20220223,9.4606,9.2552,-0.021720,-72399.91,ma10,8,0.061326
000977,浪潮信息,20220223,20220228,34.6723,32.1888,-0.071627,-238757.46,ma10,3,0.062856
002466,天齐锂业,20220223,20220301,96.9641,91.3063,-0.058349,-194498.08,ma10,4,0.050224
002837,英维克,20220223,20220302,10.3535,9.5540,-0.077220,-257400.69,ma10,5,0.115159
688037,芯源微,20220228,20220307,73.9395,69.3988,-0.061412,-204705.58,ma10,5,0.077674
300373,扬杰科技,20220301,20220307,66.7563,62.6741,-0.061150,-203834.46,ma10,4,0.051496
601088,中国神华,20220307,20220308,15.4801,14.1866,-0.083562,-278539.01,ma10,1,0.060357
601600,中国铝业,20220302,20220309,6.4409,5.8081,-0.098236,-327454.72,trail,5,0.032019
601899,紫金矿业,20220307,20220309,10.2331,9.6039,-0.061496,-204987.39,ma10,2,0.033824
300666,江丰电子,20220310,20220314,60.9876,58.7588,-0.036544,-121814.03,ma10,2,0.045844
002371,北方华创,20220311,20220314,220.5545,212.1514,-0.038100,-126998.74,ma10,1,0.033529
300373,扬杰科技,20220310,20220324,70.4984,71.1323,0.008991,29971.02,trail,10,0.034575
601689,拓普集团,20220317,20220325,39.2471,36.1539,-0.078814,-262713.62,ma10,6,0.037494
002837,英维克,20220318,20220325,9.4606,9.0659,-0.041728,-139092.84,ma10,5,0.064647
601899,紫金矿业,20220325,20220331,9.9221,9.6736,-0.025051,-83501.79,ma10,4,0.043129
603259,药明康德,20220325,20220401,104.5387,103.0222,-0.014506,-48353.33,ma10,5,0.042557
601088,中国神华,20220324,20220418,15.6306,18.2812,0.169574,565247.35,trail,15,0.072363
300475,香农芯创,20220406,20220418,20.2857,19.8553,-0.021219,-70731.63,ma10,8,0.032706
601899,紫金矿业,20220414,20220420,11.1461,9.7732,-0.123173,-410575.32,trail,4,0.034670
002371,北方华创,20220418,20220422,200.2688,185.2128,-0.075179,-250595.37,ma10,4,0.033133
603986,兆易创新,20220418,20220422,137.4753,126.7529,-0.077996,-259985.04,ma10,4,0.032214
600460,士兰微,20220420,20220422,43.1999,41.5137,-0.039033,-130108.77,ma10,2,0.047391
002460,赣锋锂业,20220429,20220516,76.9894,74.2306,-0.035834,-119445.76,ma10,8,0.049723
002050,三花智控,20220428,20220523,15.0488,15.4020,0.023475,78251.24,ma10,14,0.037699
002466,天齐锂业,20220429,20220601,72.3143,90.8779,0.256708,855694.07,ma10,20,0.062511
603986,兆易创新,20220523,20220607,145.9929,137.6319,-0.057270,-190899.70,ma10,10,0.059594
002837,英维克,20220601,20220609,7.6548,7.3125,-0.044720,-149066.65,ma10,5,0.045697
688037,芯源微,20220607,20220614,70.9197,62.9929,-0.111772,-372573.97,trail,5,0.090338
000657,中钨高新,20220516,20220621,7.9758,10.5702,0.325279,1084264.40,ma10,25,0.064376
002466,天齐锂业,20220609,20220621,105.9833,109.6274,0.034383,114609.85,ma10,8,0.059630
002384,东山精密,20220621,20220704,21.6903,21.5489,-0.006518,-21726.72,ma10,9,0.058723
603186,华正新材,20220621,20220705,24.2887,24.0296,-0.010669,-35562.86,ma10,10,0.064273
002050,三花智控,20220614,20220711,19.9346,25.8627,0.297376,991254.60,ma10,19,0.062637
600276,恒瑞医药,20220704,20220711,40.3808,37.1701,-0.079511,-265037.18,ma10,5,0.063766
002466,天齐锂业,20220705,20220711,143.2842,129.6121,-0.095419,-318063.53,ma10,4,0.068116
300620,光库科技,20220711,20220715,24.5295,23.0333,-0.060995,-203315.03,ma10,4,0.054032
601869,长飞光纤,20220711,20220720,30.4587,30.1665,-0.009594,-31979.95,ma10,7,0.048060
002851,麦格米特,20220711,20220725,29.7163,29.8477,0.004421,14737.72,ma10,10,0.048913
002837,英维克,20220715,20220725,9.3001,9.2851,-0.001621,-5404.05,trail,6,0.044227
300757,罗博特科,20220725,20220803,37.5215,39.3917,0.049843,166142.30,ma10,7,0.053932
688037,芯源微,20220803,20220815,90.2925,99.5055,0.102034,340115.00,trail,8,0.116932
300394,天孚通信,20220720,20220819,9.2600,10.0721,0.087699,292329.09,trail,22,0.129962
300604,长川科技,20220725,20220819,48.7680,56.7265,0.163191,543969.77,ma10,19,0.059114
300502,新易盛,20220815,20220822,9.1496,8.9663,-0.020043,-66811.37,ma10,5,0.034955
601869,长飞光纤,20220819,20220824,38.7856,35.0580,-0.096108,-320359.72,ma10,3,0.086956
002384,东山精密,20220819,20220824,29.4454,27.7057,-0.059081,-196938.03,ma10,3,0.044111
002466,天齐锂业,20220824,20220825,115.1530,107.7146,-0.064597,-215321.72,ma10,1,0.032699
002837,英维克,20220822,20220830,11.2765,11.1082,-0.014929,-49761.91,trail,6,0.038244
601088,中国神华,20220824,20220830,21.8307,21.3596,-0.021581,-71935.33,ma10,4,0.035445
300475,香农芯创,20220831,20220907,21.2689,20.8515,-0.019624,-65414.37,ma10,5,0.032731
002851,麦格米特,20220831,20220915,31.8231,31.4616,-0.011360,-37867.16,ma10,10,0.037165
300604,长川科技,20220831,20220915,58.1684,63.6106,0.093558,311860.29,ma10,10,0.033952
688037,芯源微,20220907,20220921,100.0541,93.8966,-0.061542,-205140.97,trail,9,0.062603
002466,天齐锂业,20220922,20220926,111.0497,105.1542,-0.053089,-176964.39,ma10,2,0.035314
