date,equity,cash,positions
20220829,16231494.45,3058437.29,4
20220830,16270718.57,3058740.70,4
20220831,16189163.22,3059044.15,4
20220901,15952791.85,3059347.63,4
20220902,16139270.60,3059651.13,4
20220905,15921713.61,3059954.67,4
20220906,16297993.81,3060258.24,4
20220907,16557707.60,3060561.83,4
20220908,16559972.02,3060865.46,4
20220909,16657411.73,3061169.12,4
20220913,16342946.56,4959491.06,3
20220914,16061125.14,2459735.05,4
20220915,15719943.19,2459979.07,4
20220916,15372650.77,2460223.12,4
20220919,15233142.24,2460467.19,4
20220920,15566653.88,2460711.28,4
20220921,15446441.18,2460955.40,4
20220922,15372174.89,2461199.54,4
20220923,15215096.69,2461443.71,4
20220926,15172002.70,2461687.90,4
20220927,15052555.45,2461932.12,4
20220928,14791711.24,2462176.36,4
20220929,15025301.58,2462420.62,4
20220930,14861139.71,2462664.91,4
20221010,14562795.42,2462909.22,4
20221011,14851678.29,2463153.56,4
20221012,15024968.09,2463397.92,4
20221013,14990608.12,2463642.30,4
20221014,15112069.15,2463886.71,4
20221017,15009982.63,2464131.14,4
20221018,14966779.93,2464375.60,4
20221019,14805550.84,2464620.08,4
20221020,14384187.79,2464864.59,4
20221021,14571119.53,2465109.12,4
20221024,14434444.17,2465353.67,4
20221025,14583678.00,2465598.25,4
20221027,14402323.10,2465842.85,4
20221028,13907190.31,4668084.72,4
20221031,13732420.00,4668547.82,4
20221101,13808963.78,4669010.97,4
20221102,13828617.36,4669474.16,4
20221103,13736191.60,4669937.41,4
20221104,13913489.78,4670400.69,4
20221107,14127647.08,4670864.03,4
20221108,14095683.63,4671327.41,4
20221109,14147045.16,4671790.83,4
20221110,14062932.86,4672254.30,4
20221111,14418027.49,4672717.82,4
20221114,14369428.36,4673181.38,4
20221115,14565621.39,4673644.99,4
20221116,14589141.95,4674108.65,4
20221117,14570782.17,4674572.35,4
20221118,14482667.60,4675036.10,4
20221121,14403524.44,4675499.89,4
20221122,14488502.92,4675963.73,4
20221123,14490732.76,4676427.61,4
20221124,14540444.09,4676891.55,4
20221125,14620318.02,4677355.52,4
20221128,14405015.16,4677819.55,4
20221129,14632655.30,4678283.62,4
20221130,14548801.03,4678747.73,4
20221201,14646183.12,4679211.89,4
20221202,14612965.10,4679676.10,4
20221205,14802066.32,4680140.35,4
20221206,14750449.88,4680604.65,4
