序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,牛熊,池模式,退出原因
105,159995,芯片ETF,2024-12-31,2025-01-02,0.6133,0.5847,-4.67,-824452.0,2,牛,all,Trail止损3%
106,159995,芯片ETF,2025-01-02,2025-01-03,0.5853,0.5737,-1.99,-334415.0,1,牛,all,趋势转空(MA6<MA15)
107,510880,红利ETF,2025-01-03,2025-01-06,2.9646,2.9614,-0.11,-18124.0,3,牛,all,趋势转空(MA6<MA15)
108,159509,纳指科技ETF,2025-01-09,2025-01-13,1.6369,1.5841,-3.22,-530886.0,4,牛,all,Trail止损3%
109,512480,半导体ETF,2025-01-20,2025-03-03,0.5053,0.5467,8.2,1306431.0,42,熊,all,Trail止损6%
110,588890,科创AIETF,2025-03-03,2025-03-11,1.792,1.879,4.85,836951.0,8,牛,all,趋势转空(MA6<MA15)
111,513050,中概互联ETF,2025-03-11,2025-03-20,1.5058,1.5302,1.62,292122.0,9,牛,all,Trail止损3%
112,513050,中概互联ETF,2025-03-20,2025-03-25,1.5318,1.4712,-3.96,-727418.0,5,牛,all,Trail止损3%
113,513050,中概互联ETF,2025-03-25,2025-03-26,1.4728,1.4822,0.64,112311.0,1,牛,all,趋势转空(MA6<MA15)
114,159992,创新药ETF,2025-03-26,2025-04-07,0.7204,0.6856,-4.83,-857118.0,12,熊,all,Trail止损6%
115,159992,创新药ETF,2025-04-07,2025-04-14,0.6864,0.7206,4.99,842704.0,7,熊,all,趋势转空(MA6<MA15)
116,588200,科创芯片ETF,2025-04-18,2025-04-25,0.5183,0.5127,-1.07,-190577.0,7,熊,all,趋势转空(MA6<MA15)
117,159937,博时黄金ETF,2025-04-25,2025-05-06,7.5231,7.5928,0.93,162582.0,11,熊,all,趋势转空(MA6<MA15)
118,159992,创新药ETF,2025-05-06,2025-06-18,0.7394,0.7876,6.51,1153804.0,43,熊,all,趋势转空(MA6<MA15)
119,515880,通信ETF,2025-06-20,2025-09-02,0.2241,0.4248,89.52,16891527.0,74,牛,all,Trail止损3%
120,515880,通信ETF,2025-09-02,2025-09-04,0.4252,0.3928,-7.63,-2728855.0,2,牛,all,Trail止损3%
121,515880,通信ETF,2025-09-04,2025-09-08,0.3932,0.3988,1.42,467420.0,4,牛,all,Trail止损3%
122,515880,通信ETF,2025-09-08,2025-09-10,0.3992,0.4088,2.39,801807.0,2,牛,all,趋势转空(MA6<MA15)
123,588300,科创芯片ETF,2025-09-10,2025-09-11,0.8345,0.8855,6.12,2098558.0,1,牛,all,趋势转空(MA6<MA15)
124,159992,创新药ETF,2025-09-11,2025-09-12,0.9785,0.9835,0.5,183043.0,1,牛,all,趋势转空(MA6<MA15)
125,159301,自由现金流ETF,2025-09-12,2025-09-19,0.9575,0.9415,-1.68,-612969.0,7,牛,all,趋势转空(MA6<MA15)
126,513050,中概互联ETF,2025-09-19,2025-10-10,1.6869,1.6861,-0.05,-18234.0,21,牛,all,Trail止损3%
127,588170,科创半导体ETF,2025-10-10,2025-10-14,0.5013,0.4847,-3.3,-1186383.0,4,牛,all,Trail止损3%
128,588170,科创半导体ETF,2025-10-14,2025-10-16,0.4853,0.4747,-2.17,-754218.0,2,牛,all,趋势转空(MA6<MA15)
129,513100,纳指ETF,2025-10-17,2025-11-04,1.808,1.9389,7.24,2463080.0,18,牛,all,Trail止损3%
130,515880,通信ETF,2025-11-04,2025-11-06,0.4512,0.4597,1.88,686945.0,2,牛,all,趋势转空(MA6<MA15)
131,159915,创业板ETF,2025-11-06,2025-11-07,3.2028,3.1832,-0.61,-226391.0,1,牛,all,趋势转空(MA6<MA15)
132,588170,科创半导体ETF,2025-11-12,2025-11-17,0.4863,0.4707,-3.19,-1179277.0,5,牛,all,Trail止损3%
133,518800,黄金ETF,2025-11-17,2025-11-21,9.3151,9.2559,-0.64,-227282.0,4,牛,all,趋势转空(MA6<MA15)
134,159819,人工智能ETF,2025-12-02,2025-12-15,1.4608,1.4772,1.12,398465.0,13,牛,all,Trail止损3%
135,515880,通信ETF,2025-12-15,2025-12-22,0.4843,0.5137,6.08,2184842.0,7,牛,all,趋势转空(MA6<MA15)
136,515880,通信ETF,2025-12-26,2026-01-13,0.5173,0.5197,0.47,179002.0,18,牛,all,Trail止损3%
137,588170,科创半导体ETF,2026-01-13,2026-01-22,0.5613,0.6177,10.04,3843987.0,9,牛,all,Trail止损3%
138,588170,科创半导体ETF,2026-01-22,2026-01-26,0.6183,0.6037,-2.37,-999748.0,4,牛,all,Trail止损3%
139,588170,科创半导体ETF,2026-01-26,2026-01-29,0.6043,0.6027,-0.28,-113249.0,3,牛,all,Trail止损3%
140,588200,科创芯片ETF,2026-01-29,2026-02-02,0.9115,0.8735,-4.17,-1709294.0,4,牛,all,Trail止损3%
141,518880,华安黄金ETF,2026-02-02,2026-02-04,9.9134,10.861,9.56,3757531.0,2,牛,all,趋势转空(MA6<MA15)
142,515880,通信ETF,2026-02-04,2026-02-06,0.5263,0.5087,-3.34,-1437769.0,2,牛,all,Trail止损3%
