序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,买入牛熊,买入池,峰值价,退出类型,触发详情
28,512010,医药ETF,2021-02-23,2021-02-24,0.8034,0.7666,-4.59,-492779.0,1,牛,all,0.803,Trail止损3%,价0.767≤peak0.803×(1-3%)
29,510880,红利ETF,2021-02-24,2021-03-10,2.0081,2.0119,0.19,19335.0,14,牛,all,2.082,Trail止损3%,价2.013≤peak2.082×(1-3%)
30,510880,红利ETF,2021-03-10,2021-03-12,2.0141,2.0859,3.56,365712.0,2,牛,all,2.087,MA死叉,MA5<MA15(MA8斜率0.0005仍正)
31,511260,十年国债ETF,2021-03-12,2021-03-19,106.6226,106.2605,-0.34,-36107.0,7,牛,all,106.564,趋势全空,MA5<MA15且MA8斜率-0.0002<0
32,510880,红利ETF,2021-03-19,2021-03-24,2.0851,2.0399,-2.17,-230047.0,5,牛,all,2.11,Trail止损3%,价2.041≤peak2.110×(1-3%)
33,510880,红利ETF,2021-03-24,2021-03-26,2.0421,2.0739,1.55,161100.0,2,牛,all,2.075,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0018<0"
34,511260,十年国债ETF,2021-03-29,2021-04-30,106.5676,107.4679,0.84,88935.0,32,牛,all,107.692,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
35,159992,创新药ETF,2021-04-30,2021-05-07,1.5438,1.4252,-7.68,-815780.0,7,熊,all,1.543,Trail止损6%,价1.426≤peak1.543×(1-6%)
36,159992,创新药ETF,2021-05-07,2021-05-28,1.4268,1.5222,6.68,655146.0,21,熊,all,1.591,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
37,159915,创业板ETF,2021-05-28,2021-06-10,3.1227,3.1773,1.75,182597.0,13,熊,all,3.195,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
38,512480,半导体ETF,2021-06-10,2021-07-02,0.5703,0.6416,12.51,1330605.0,22,熊,all,0.668,Trail止损3%,价0.642≤peak0.668×(1-3%)
39,512480,半导体ETF,2021-07-02,2021-07-13,0.6424,0.6566,2.22,266180.0,11,牛,all,0.694,Trail止损3%,价0.657≤peak0.694×(1-3%)
40,512480,半导体ETF,2021-07-13,2021-07-16,0.6574,0.6436,-2.09,-255278.0,3,牛,all,0.657,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
41,159915,创业板ETF,2021-07-16,2021-07-26,3.3298,3.2682,-1.85,-221723.0,10,牛,all,3.455,Trail止损3%,价3.270≤peak3.455×(1-3%)
42,159819,人工智能ETF,2021-07-26,2021-07-28,1.0146,0.9915,-2.28,-267751.0,2,牛,all,1.014,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
43,512480,半导体ETF,2021-07-28,2021-08-03,0.7074,0.6976,-1.38,-158741.0,6,牛,all,0.771,Trail止损3%,价0.698≤peak0.771×(1-3%)
44,512480,半导体ETF,2021-08-03,2021-08-10,0.6984,0.6916,-0.97,-109757.0,7,牛,all,0.726,趋势全空,MA5<MA15且MA8斜率-0.0008<0
45,515880,通信ETF,2021-08-10,2021-08-17,0.1811,0.1729,-4.52,-507782.0,7,熊,all,0.181,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
46,512890,中证红利低波ETF,2021-08-17,2021-09-27,0.7464,0.8185,9.66,1035489.0,41,熊,def,0.887,Trail止损6%,价0.819≤peak0.887×(1-6%)
47,511260,十年国债ETF,2021-09-28,2021-10-13,110.6418,110.1764,-0.42,-49428.0,15,熊,def,110.797,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
48,510050,上证50ETF,2021-10-13,2021-10-29,3.0767,3.0503,-0.86,-100279.0,16,熊,def,3.1,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
49,511260,十年国债ETF,2021-11-02,2021-12-10,110.8419,111.2918,0.41,47075.0,38,熊,def,111.476,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
50,510050,上证50ETF,2021-12-10,2021-12-20,3.1397,3.0303,-3.48,-405797.0,10,牛,all,3.143,Trail止损3%,价3.032≤peak3.143×(1-3%)
51,515050,5G通信ETF,2021-12-20,2021-12-22,0.3992,0.4188,4.9,550484.0,2,牛,all,0.419,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0008<0"
52,512890,中证红利低波ETF,2021-12-22,2022-01-24,0.7954,0.8215,3.28,387064.0,33,牛,all,0.835,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
53,159819,人工智能ETF,2022-01-24,2022-01-27,1.0146,0.9305,-8.29,-1009161.0,3,熊,all,1.014,Trail止损6%,价0.931≤peak1.014×(1-6%)
54,518880,华安黄金ETF,2022-01-27,2022-02-07,3.608,3.618,0.28,31037.0,11,熊,all,3.62,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0005<0"
55,511010,国债ETF,2022-02-07,2022-02-14,123.9311,123.4771,-0.37,-41038.0,7,熊,all,124.197,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
56,510880,红利ETF,2022-02-14,2022-03-01,2.3243,2.3487,1.05,117294.0,15,熊,all,2.398,MA死叉,MA5<MA15(MA8斜率0.0001仍正)
57,518800,黄金ETF,2022-03-01,2022-03-16,3.9752,3.9828,0.19,21625.0,15,熊,all,4.266,Trail止损6%,价3.985≤peak4.266×(1-6%)
