序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,牛熊,池模式,峰值价,退出类型,触发详情
26,512010,医药ETF,2021-02-23,2021-02-24,0.8034,0.7666,-4.59,-563746.0,1,牛,all,0.803,Trail止损3%,价格0.767≤peak×(1-3%)=0.779
27,510880,红利ETF,2021-02-24,2021-03-10,2.0081,2.0119,0.19,22120.0,14,牛,all,2.082,Trail止损3%,价格2.013≤peak×(1-3%)=2.020
28,510880,红利ETF,2021-03-10,2021-03-24,2.0141,2.0399,1.28,150279.0,14,牛,all,2.115,Trail止损3%,价格2.041≤peak×(1-3%)=2.052
29,512890,中证红利低波ETF,2021-03-24,2021-03-26,0.6974,0.7006,0.46,55114.0,2,牛,all,0.701,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0014<0 (动能走弱)"
30,159819,人工智能ETF,2021-04-27,2021-05-06,0.9025,0.8795,-2.55,-304297.0,9,熊,all,0.904,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0028<0 (动能走弱)"
31,159992,创新药ETF,2021-05-06,2021-05-28,1.4718,1.5222,3.42,398443.0,22,熊,all,1.591,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0001<0 (动能走弱)"
32,513100,纳指ETF,2021-05-28,2021-06-07,0.8975,0.8995,0.22,26997.0,10,熊,all,0.9,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0004<0 (动能走弱)"
33,510050,上证50ETF,2021-06-07,2021-06-15,3.3428,3.2682,-2.23,-269529.0,8,熊,all,3.349,趋势全空,MA6<MA15 且 MA8斜率=-0.0021<0
34,512480,半导体ETF,2021-06-16,2021-07-02,0.5493,0.6416,16.81,1984115.0,16,牛,all,0.668,Trail止损3%,价格0.642≤peak×(1-3%)=0.648
35,512480,半导体ETF,2021-07-02,2021-07-13,0.6424,0.6566,2.22,306601.0,11,牛,all,0.694,Trail止损3%,价格0.657≤peak×(1-3%)=0.673
36,512480,半导体ETF,2021-07-13,2021-07-16,0.6574,0.6436,-2.09,-294043.0,3,牛,all,0.657,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0000<0 (动能走弱)"
37,159995,芯片ETF,2021-07-16,2021-07-20,0.7694,0.7866,2.23,307466.0,4,牛,all,0.787,趋势全空,MA6<MA15 且 MA8斜率=-0.0019<0
38,512890,中证红利低波ETF,2021-07-21,2021-07-27,0.7474,0.7106,-4.92,-694587.0,6,牛,all,0.751,Trail止损3%,价格0.711≤peak×(1-3%)=0.728
