序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,牛熊,池模式,峰值价,退出类型,触发详情
144,515050,5G通信ETF,2026-03-05,2026-03-10,0.7994,0.8136,1.77,540046.0,5,牛,all,0.814,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=0.0000<0 (动能走弱)"
145,510880,红利ETF,2026-03-10,2026-03-23,3.2718,3.2322,-1.21,-376583.0,13,牛,all,3.381,Trail止损3%,价格3.234≤peak×(1-3%)=3.280
146,159915,创业板ETF,2026-03-23,2026-03-25,3.2298,3.3052,2.33,718040.0,2,牛,all,3.307,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0019<0 (动能走弱)"
147,515880,通信ETF,2026-04-02,2026-04-28,0.5413,0.6636,22.6,7113151.0,26,熊,all,0.707,Trail止损6%,价格0.664≤peak×(1-6%)=0.665
148,515050,5G通信ETF,2026-04-28,2026-05-15,0.9875,1.1074,12.14,4682808.0,17,牛,all,1.156,Trail止损3%,价格1.108≤peak×(1-3%)=1.121
149,588200,科创芯片ETF,2026-05-15,2026-05-21,1.1416,1.1893,4.18,1808567.0,6,牛,all,1.255,Trail止损3%,价格1.190≤peak×(1-3%)=1.217
150,588170,科创半导体ETF,2026-05-21,2026-05-27,0.8455,0.8545,1.07,483318.0,6,牛,all,0.906,Trail止损3%,价格0.855≤peak×(1-3%)=0.879
151,588170,科创半导体ETF,2026-05-27,2026-05-29,0.8555,0.8156,-4.67,-2126023.0,2,牛,all,0.869,Trail止损3%,价格0.816≤peak×(1-3%)=0.843
152,159995,芯片ETF,2026-05-29,2026-06-01,1.2467,1.1784,-5.48,-2380769.0,3,牛,all,1.246,Trail止损3%,价格1.179≤peak×(1-3%)=1.209
153,159995,芯片ETF,2026-06-01,2026-06-03,1.1796,1.2413,5.23,2146186.0,2,牛,all,1.242,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0040<0 (动能走弱)"
154,513100,纳指ETF,2026-06-03,2026-06-05,2.3003,2.2038,-4.19,-1811899.0,2,牛,all,2.299,Trail止损3%,价格2.205≤peak×(1-3%)=2.230
155,515880,通信ETF,2026-06-05,2026-06-08,0.8325,0.8006,-3.83,-1585924.0,3,牛,all,0.832,Trail止损3%,价格0.801≤peak×(1-3%)=0.807
156,515880,通信ETF,2026-06-08,2026-06-10,0.8014,0.8146,1.64,651151.0,2,牛,all,0.848,Trail止损3%,价格0.815≤peak×(1-3%)=0.823
157,515880,通信ETF,2026-06-10,2026-06-16,0.8154,0.8645,6.02,2434616.0,6,牛,all,0.865,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0005<0 (动能走弱)"
158,515050,5G通信ETF,2026-06-23,2026-06-26,1.3427,1.3583,1.16,495546.0,3,牛,all,1.439,Trail止损3%,价格1.359≤peak×(1-3%)=1.396
159,515050,5G通信ETF,2026-06-26,2026-07-01,1.3597,1.3333,-1.95,-844902.0,5,牛,all,1.397,Trail止损3%,价格1.334≤peak×(1-3%)=1.355
160,159782,科创50ETF,2026-07-01,2026-07-02,1.4268,1.3233,-7.25,-3086177.0,1,牛,all,1.426,Trail止损3%,价格1.324≤peak×(1-3%)=1.383
161,588170,科创半导体ETF,2026-07-02,2026-07-03,1.2357,1.1923,-3.51,-1383612.0,1,牛,all,1.235,Trail止损3%,价格1.193≤peak×(1-3%)=1.198
162,588170,科创半导体ETF,2026-07-03,2026-07-10,1.1937,1.2913,8.18,3113805.0,7,牛,all,1.397,Trail止损3%,价格1.292≤peak×(1-3%)=1.355
163,589720,半导体设备ETF,2026-07-10,2026-07-16,0.9515,0.9815,3.15,1295699.0,6,牛,all,0.996,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0003<0 (动能走弱)"
164,510050,上证50ETF,2026-07-16,2026-07-20,3.0057,3.0053,-0.01,-4325.0,4,牛,all,3.007,趋势全空,MA6<MA15 且 MA8斜率=-0.0012<0
165,159992,创新药ETF,2026-07-20,2026-07-24,0.8705,0.8385,-3.67,-1558484.0,4,牛,all,0.88,Trail止损3%,价格0.839≤peak×(1-3%)=0.854
166,512010,医药ETF,2026-07-24,2026-07-29,0.3652,0.3728,2.08,850817.0,5,牛,all,0.373,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0029<0 (动能走弱)"
